Year,Region,Jurisdiction,Source,ProductionMMcf,Prod_Bcf
1977,United States,All,All,3932196,3932.196
1978,United States,All,All,5111413,5111.413
1979,United States,All,All,5603025,5603.025
1980,United States,All,All,5650097,5650.097
1981,United States,All,All,5693432,5693.432
1982,United States,All,All,5466050,5466.05
1983,United States,All,All,4734843,4734.843
1984,United States,All,All,5220061,5220.061
1985,United States,All,All,4631756,4631.756
1986,United States,All,All,4588565,4588.565
1987,United States,All,All,5078178,5078.178
1988,United States,All,All,5180875,5180.875
1989,United States,All,All,5231028,5231.028
1990,United States,All,All,5509312,5509.312
1991,United States,All,All,5308457,5308.457
1992,United States,All,All,5324039,5324.039
1993,United States,All,All,5373300,5373.3
1994,United States,All,All,5700666,5700.666
1995,United States,All,All,5431665,5431.665
1996,United States,All,All,5843661,5843.661
1997,United States,All,All,5906329,5906.329
1998,United States,All,All,5800561,5800.561
1999,United States,All,All,5689438,5689.438
2000,United States,All,All,5699377,5699.377
2001,United States,All,All,5815542,5815.542
2002,United States,All,All,5312348,5312.348
2003,United States,All,All,5215683,5215.683
2004,United States,All,All,4736252,4736.252
2005,United States,All,All,3889577,3889.577
2006,United States,All,All,3584190,3584.19
2007,United States,All,All,3476755,3476.755
2008,United States,All,All,3028561,3028.561
2009,United States,All,All,3072285,3072.285
2010,United States,All,All,2875945,2875.945
2011,United States,All,All,2416644,2416.644
2012,United States,All,All,2044643,2044.643
2013,United States,All,All,1859469,1859.469
2014,United States,All,All,1804544,1804.544
2015,United States,All,All,1825337,1825.337
2016,United States,All,All,1709055,1709.055
2017,United States,All,All,1556679,1556.679
2018,United States,All,All,1456967,1456.967
2019,United States,All,All,1494960,1494.96
2020,United States,All,All,1270416,1270.416
2021,United States,All,All,,
,,,,,
1977,United States,All,Gas Wells,3515143,3515.143
1978,United States,All,Gas Wells,4629916,4629.916
1979,United States,All,Gas Wells,4550080,4550.08
1980,United States,All,Gas Wells,5214092,5214.092
1981,United States,All,Gas Wells,5265471,5265.471
1982,United States,All,Gas Wells,5014721,5014.721
1983,United States,All,Gas Wells,4218633,4218.633
1984,United States,All,Gas Wells,4639583,4639.583
1985,United States,All,Gas Wells,4004838,4004.838
1986,United States,All,Gas Wells,3930305,3930.305
1987,United States,All,Gas Wells,7607680,7607.68
1988,United States,All,Gas Wells,4604962,4604.962
1989,United States,All,Gas Wells,4662294,4662.294
1990,United States,All,Gas Wells,4945688,4945.688
1991,United States,All,Gas Wells,4673519,4673.519
1992,United States,All,Gas Wells,4674172,4674.172
1993,United States,All,Gas Wells,4685502,4685.502
1994,United States,All,Gas Wells,4924041,4924.041
1995,United States,All,Gas Wells,4748878,4748.878
1996,United States,All,Gas Wells,5122743,5122.743
1997,United States,All,Gas Wells,5145450,5145.45
1998,United States,All,Gas Wells,4958199,4958.199
1999,United States,All,Gas Wells,4752578,4752.578
2000,United States,All,Gas Wells,4574003,4574.003
2001,United States,All,Gas Wells,4655367,4655.367
2002,United States,All,Gas Wells,4207375,4207.375
2003,United States,All,Gas Wells,4021704,4021.704
2004,United States,All,Gas Wells,3616150,3616.15
2005,United States,All,Gas Wells,2837728,2837.728
2006,United States,All,Gas Wells,2593930,2593.93
2007,United States,All,Gas Wells,2480496,2480.496
2008,United States,All,Gas Wells,2147456,2147.456
2009,United States,All,Gas Wells,2138776,2138.776
2010,United States,All,Gas Wells,1935901,1935.901
2011,United States,All,Gas Wells,1564459,1564.459
2012,United States,All,Gas Wells,1233141,1233.141
2013,United States,All,Gas Wells,1018523,1018.523
2014,United States,All,Gas Wells,872595,872.595
2015,United States,All,Gas Wells,812442,812.442
2016,United States,All,Gas Wells,703926,703.926
2017,United States,All,Gas Wells,565340,565.34
2018,United States,All,Gas Wells,476885,476.885
2019,United States,All,Gas Wells,435062,435.062
2020,United States,All,Gas Wells,324939,324.939
2021,United States,All,Gas Wells,,
,,,,,
1977,United States,All,Oil Wells,417053,417.053
1978,United States,All,Oil Wells,481497,481.497
1979,United States,All,Oil Wells,1052945,1052.945
1980,United States,All,Oil Wells,436005,436.005
1981,United States,All,Oil Wells,427961,427.961
1982,United States,All,Oil Wells,451329,451.329
1983,United States,All,Oil Wells,516210,516.21
1984,United States,All,Oil Wells,580478,580.478
1985,United States,All,Oil Wells,626918,626.918
1986,United States,All,Oil Wells,658260,658.26
1987,United States,All,Oil Wells,596180,596.18
1988,United States,All,Oil Wells,575913,575.913
1989,United States,All,Oil Wells,568734,568.734
1990,United States,All,Oil Wells,563624,563.624
1991,United States,All,Oil Wells,634938,634.938
1992,United States,All,Oil Wells,649867,649.867
1993,United States,All,Oil Wells,687798,687.798
1994,United States,All,Oil Wells,776625,776.625
1995,United States,All,Oil Wells,682787,682.787
1996,United States,All,Oil Wells,720917,720.917
1997,United States,All,Oil Wells,760879,760.879
1998,United States,All,Oil Wells,842362,842.362
1999,United States,All,Oil Wells,936859,936.859
2000,United States,All,Oil Wells,1125375,1125.375
2001,United States,All,Oil Wells,1160175,1160.175
2002,United States,All,Oil Wells,1104971,1104.971
2003,United States,All,Oil Wells,1193978,1193.978
2004,United States,All,Oil Wells,1120101,1120.101
2005,United States,All,Oil Wells,1051849,1051.849
2006,United States,All,Oil Wells,990260,990.26
2007,United States,All,Oil Wells,996259,996.259
2008,United States,All,Oil Wells,881104,881.104
2009,United States,All,Oil Wells,933508,933.508
2010,United States,All,Oil Wells,940044,940.044
2011,United States,All,Oil Wells,852185,852.185
2012,United States,All,Oil Wells,811502,811.502
2013,United States,All,Oil Wells,840946,840.946
2014,United States,All,Oil Wells,931949,931.949
2015,United States,All,Oil Wells,1012895,1012.895
2016,United States,All,Oil Wells,1005129,1005.129
2017,United States,All,Oil Wells,991339,991.339
2018,United States,All,Oil Wells,980082,980.082
2019,United States,All,Oil Wells,1059898,1059.898
2020,United States,All,Oil Wells,945477,945.477
2021,United States,All,Oil Wells,,
,,,,,
1977,United States,State,All,,
1978,United States,State,All,755671,755.671
1979,United States,State,All,780911,780.911
1980,United States,State,All,747743,747.743
1981,United States,State,All,702765,702.765
1982,United States,State,All,693177,693.177
1983,United States,State,All,552610,552.61
1984,United States,State,All,513279,513.279
1985,United States,State,All,446237,446.237
1986,United States,State,All,403050,403.05
1987,United States,State,All,406377,406.377
1988,United States,State,All,434211,434.211
1989,United States,State,All,459617,459.617
1990,United States,State,All,462652,462.652
1991,United States,State,All,458800,458.8
1992,United States,State,All,552294,552.294
1993,United States,State,All,607435,607.435
1994,United States,State,All,704469,704.469
1995,United States,State,All,489576,489.576
1996,United States,State,All,597239,597.239
1997,United States,State,All,590815,590.815
1998,United States,State,All,615249,615.249
1999,United States,State,All,558692,558.692
2000,United States,State,All,655609,655.609
2001,United States,State,All,678580,678.58
2002,United States,State,All,696905,696.905
2003,United States,State,All,710240,710.24
2004,United States,State,All,680911,680.911
2005,United States,State,All,684671,684.671
2006,United States,State,All,629652,629.652
2007,United States,State,All,618042,618.042
2008,United States,State,All,653704,653.704
2009,United States,State,All,586953,586.953
2010,United States,State,All,575601,575.601
2011,United States,State,All,549151,549.151
2012,United States,State,All,489505,489.505
2013,United States,State,All,505318,505.318
2014,United States,State,All,514291,514.291
2015,United States,State,All,502948,502.948
2016,United States,State,All,483900,483.9
2017,United States,State,All,474511,474.511
2018,United States,State,All,460835,460.835
2019,United States,State,All,458046,458.046
2020,United States,State,All,462655,462.655
1977,United States,Federal,All,3932196,3932.196
1978,United States,Federal,All,4355742,4355.742
1979,United States,Federal,All,4822114,4822.114
1980,United States,Federal,All,4902354,4902.354
1981,United States,Federal,All,4990667,4990.667
1982,United States,Federal,All,4772873,4772.873
1983,United States,Federal,All,4182233,4182.233
1984,United States,Federal,All,4706782,4706.782
1985,United States,Federal,All,4185519,4185.519
1986,United States,Federal,All,4185515,4185.515
1987,United States,Federal,All,4671801,4671.801
1988,United States,Federal,All,4746664,4746.664
1989,United States,Federal,All,4771411,4771.411
1990,United States,Federal,All,5046660,5046.66
1991,United States,Federal,All,4849657,4849.657
1992,United States,Federal,All,4771744,4771.744
1993,United States,Federal,All,4765865,4765.865
1994,United States,Federal,All,4996197,4996.197
1995,United States,Federal,All,4942089,4942.089
1996,United States,Federal,All,5246422,5246.422
1997,United States,Federal,All,5315514,5315.514
1998,United States,Federal,All,5185312,5185.312
1999,United States,Federal,All,5130746,5130.746
2000,United States,Federal,All,5043769,5043.769
2001,United States,Federal,All,5136962,5136.962
2002,United States,Federal,All,4615443,4615.443
2003,United States,Federal,All,4505443,4505.443
2004,United States,Federal,All,4055340,4055.34
2005,United States,Federal,All,3204906,3204.906
2006,United States,Federal,All,2954538,2954.538
2007,United States,Federal,All,2858713,2858.713
2008,United States,Federal,All,2374857,2374.857
2009,United States,Federal,All,2485331,2485.331
2010,United States,Federal,All,2300344,2300.344
2011,United States,Federal,All,1867492,1867.492
2012,United States,Federal,All,1555138,1555.138
2013,United States,Federal,All,1354151,1354.151
2014,United States,Federal,All,1290253,1290.253
2015,United States,Federal,All,1322389,1322.389
2016,United States,Federal,All,1225155,1225.155
2017,United States,Federal,All,1082168,1082.168
2018,United States,Federal,All,996132,996.132
2019,United States,Federal,All,1036914,1036.914
2020,United States,Federal,All,807761,807.761
2021,United States,Federal,All,,
1977,United States,State,Gas Wells,,
1978,United States,State,Gas Wells,657821,657.821
1979,United States,State,Gas Wells,97934,97.934
1980,United States,State,Gas Wells,697311,697.311
1981,United States,State,Gas Wells,652049,652.049
1982,United States,State,Gas Wells,641977,641.977
1983,United States,State,Gas Wells,498196,498.196
1984,United States,State,Gas Wells,456001,456.001
1985,United States,State,Gas Wells,390052,390.052
1986,United States,State,Gas Wells,344768,344.768
1987,United States,State,Gas Wells,3472980,3472.98
1988,United States,State,Gas Wells,355370,355.37
1989,United States,State,Gas Wells,376033,376.033
1990,United States,State,Gas Wells,383544,383.544
1991,United States,State,Gas Wells,359112,359.112
1992,United States,State,Gas Wells,415486,415.486
1993,United States,State,Gas Wells,470487,470.487
1994,United States,State,Gas Wells,550079,550.079
1995,United States,State,Gas Wells,460659,460.659
1996,United States,State,Gas Wells,563746,563.746
1997,United States,State,Gas Wells,559098,559.098
1998,United States,State,Gas Wells,577177,577.177
1999,United States,State,Gas Wells,527126,527.126
2000,United States,State,Gas Wells,481322,481.322
2001,United States,State,Gas Wells,508374,508.374
2002,United States,State,Gas Wells,485126,485.126
2003,United States,State,Gas Wells,456090,456.09
2004,United States,State,Gas Wells,401662,401.662
2005,United States,State,Gas Wells,363652,363.652
2006,United States,State,Gas Wells,321261,321.261
2007,United States,State,Gas Wells,276117,276.117
2008,United States,State,Gas Wells,297565,297.565
2009,United States,State,Gas Wells,259848,259.848
2010,United States,State,Gas Wells,234236,234.236
2011,United States,State,Gas Wells,208970,208.97
2012,United States,State,Gas Wells,204667,204.667
2013,United States,State,Gas Wells,186887,186.887
2014,United States,State,Gas Wells,158873,158.873
2015,United States,State,Gas Wells,138512,138.512
2016,United States,State,Gas Wells,130002,130.002
2017,United States,State,Gas Wells,109865,109.865
2018,United States,State,Gas Wells,103700,103.7
2019,United States,State,Gas Wells,97546,97.546
2020,United States,State,Gas Wells,88470,88.47
2021,United States,State,Gas Wells,,
1977,United States,Federal,Gas Wells,3515143,3515.143
1978,United States,Federal,Gas Wells,3972095,3972.095
1979,United States,Federal,Gas Wells,4452146,4452.146
1980,United States,Federal,Gas Wells,4516781,4516.781
1981,United States,Federal,Gas Wells,4613422,4613.422
1982,United States,Federal,Gas Wells,4372744,4372.744
1983,United States,Federal,Gas Wells,3720437,3720.437
1984,United States,Federal,Gas Wells,4183582,4183.582
1985,United States,Federal,Gas Wells,3614786,3614.786
1986,United States,Federal,Gas Wells,3585537,3585.537
1987,United States,Federal,Gas Wells,4134700,4134.7
1988,United States,Federal,Gas Wells,4249592,4249.592
1989,United States,Federal,Gas Wells,4286261,4286.261
1990,United States,Federal,Gas Wells,4562144,4562.144
1991,United States,Federal,Gas Wells,4314407,4314.407
1992,United States,Federal,Gas Wells,4258686,4258.686
1993,United States,Federal,Gas Wells,4215015,4215.015
1994,United States,Federal,Gas Wells,4373962,4373.962
1995,United States,Federal,Gas Wells,4288219,4288.219
1996,United States,Federal,Gas Wells,4558997,4558.997
1997,United States,Federal,Gas Wells,4586352,4586.352
1998,United States,Federal,Gas Wells,4381022,4381.022
1999,United States,Federal,Gas Wells,4225452,4225.452
2000,United States,Federal,Gas Wells,4092681,4092.681
2001,United States,Federal,Gas Wells,4146993,4146.993
2002,United States,Federal,Gas Wells,3722249,3722.249
2003,United States,Federal,Gas Wells,3565614,3565.614
2004,United States,Federal,Gas Wells,3214488,3214.488
2005,United States,Federal,Gas Wells,2474076,2474.076
2006,United States,Federal,Gas Wells,2272669,2272.669
2007,United States,Federal,Gas Wells,2204379,2204.379
2008,United States,Federal,Gas Wells,1849891,1849.891
2009,United States,Federal,Gas Wells,1878928,1878.928
2010,United States,Federal,Gas Wells,1701665,1701.665
2011,United States,Federal,Gas Wells,1355489,1355.489
2012,United States,Federal,Gas Wells,1028474,1028.474
2013,United States,Federal,Gas Wells,831636,831.636
2014,United States,Federal,Gas Wells,713722,713.722
2015,United States,Federal,Gas Wells,673930,673.93
2016,United States,Federal,Gas Wells,573924,573.924
2017,United States,Federal,Gas Wells,455475,455.475
2018,United States,Federal,Gas Wells,373185,373.185
2019,United States,Federal,Gas Wells,337516,337.516
2020,United States,Federal,Gas Wells,236469,236.469
2021,United States,Federal,Gas Wells,,
1977,United States,State,Oil Wells,,
1978,United States,State,Oil Wells,97850,97.85
1979,United States,State,Oil Wells,682977,682.977
1980,United States,State,Oil Wells,50432,50.432
1981,United States,State,Oil Wells,50716,50.716
1982,United States,State,Oil Wells,51200,51.2
1983,United States,State,Oil Wells,54414,54.414
1984,United States,State,Oil Wells,57278,57.278
1985,United States,State,Oil Wells,56185,56.185
1986,United States,State,Oil Wells,58282,58.282
1987,United States,State,Oil Wells,59079,59.079
1988,United States,State,Oil Wells,78841,78.841
1989,United States,State,Oil Wells,83584,83.584
1990,United States,State,Oil Wells,79108,79.108
1991,United States,State,Oil Wells,99688,99.688
1992,United States,State,Oil Wells,136809,136.809
1993,United States,State,Oil Wells,136948,136.948
1994,United States,State,Oil Wells,154390,154.39
1995,United States,State,Oil Wells,28917,28.917
1996,United States,State,Oil Wells,33493,33.493
1997,United States,State,Oil Wells,31717,31.717
1998,United States,State,Oil Wells,38072,38.072
1999,United States,State,Oil Wells,31566,31.566
2000,United States,State,Oil Wells,174287,174.287
2001,United States,State,Oil Wells,170206,170.206
2002,United States,State,Oil Wells,211778,211.778
2003,United States,State,Oil Wells,254150,254.15
2004,United States,State,Oil Wells,279249,279.249
2005,United States,State,Oil Wells,321019,321.019
2006,United States,State,Oil Wells,308391,308.391
2007,United States,State,Oil Wells,341925,341.925
2008,United States,State,Oil Wells,356139,356.139
2009,United States,State,Oil Wells,327105,327.105
2010,United States,State,Oil Wells,341365,341.365
2011,United States,State,Oil Wells,340182,340.182
2012,United States,State,Oil Wells,284838,284.838
2013,United States,State,Oil Wells,318431,318.431
2014,United States,State,Oil Wells,355418,355.418
2015,United States,State,Oil Wells,364436,364.436
2016,United States,State,Oil Wells,353898,353.898
2017,United States,State,Oil Wells,364646,364.646
2018,United States,State,Oil Wells,357135,357.135
2019,United States,State,Oil Wells,360500,360.5
2020,United States,State,Oil Wells,374185,374.185
2021,United States,State,Oil Wells,,
1977,United States,Federal,Oil Wells,417053,417.053
1978,United States,Federal,Oil Wells,383647,383.647
1979,United States,Federal,Oil Wells,369968,369.968
1980,United States,Federal,Oil Wells,385573,385.573
1981,United States,Federal,Oil Wells,377245,377.245
1982,United States,Federal,Oil Wells,400129,400.129
1983,United States,Federal,Oil Wells,461796,461.796
1984,United States,Federal,Oil Wells,523200,523.2
1985,United States,Federal,Oil Wells,570733,570.733
1986,United States,Federal,Oil Wells,599978,599.978
1987,United States,Federal,Oil Wells,537101,537.101
1988,United States,Federal,Oil Wells,497072,497.072
1989,United States,Federal,Oil Wells,485150,485.15
1990,United States,Federal,Oil Wells,484516,484.516
1991,United States,Federal,Oil Wells,535250,535.25
1992,United States,Federal,Oil Wells,513058,513.058
1993,United States,Federal,Oil Wells,550850,550.85
1994,United States,Federal,Oil Wells,622235,622.235
1995,United States,Federal,Oil Wells,653870,653.87
1996,United States,Federal,Oil Wells,687424,687.424
1997,United States,Federal,Oil Wells,729162,729.162
1998,United States,Federal,Oil Wells,804290,804.29
1999,United States,Federal,Oil Wells,905293,905.293
2000,United States,Federal,Oil Wells,951088,951.088
2001,United States,Federal,Oil Wells,989969,989.969
2002,United States,Federal,Oil Wells,893193,893.193
2003,United States,Federal,Oil Wells,939828,939.828
2004,United States,Federal,Oil Wells,840852,840.852
2005,United States,Federal,Oil Wells,730830,730.83
2006,United States,Federal,Oil Wells,681869,681.869
2007,United States,Federal,Oil Wells,654334,654.334
2008,United States,Federal,Oil Wells,524965,524.965
2009,United States,Federal,Oil Wells,606403,606.403
2010,United States,Federal,Oil Wells,598679,598.679
2011,United States,Federal,Oil Wells,512003,512.003
2012,United States,Federal,Oil Wells,526664,526.664
2013,United States,Federal,Oil Wells,522515,522.515
2014,United States,Federal,Oil Wells,576531,576.531
2015,United States,Federal,Oil Wells,648459,648.459
2016,United States,Federal,Oil Wells,651231,651.231
2017,United States,Federal,Oil Wells,626693,626.693
2018,United States,Federal,Oil Wells,622947,622.947
2019,United States,Federal,Oil Wells,699398,699.398
2020,United States,Federal,Oil Wells,571292,571.292
2021,United States,Federal,Oil Wells,,
2021,United States,,,,
,,,,,
1977,Alabama,All,All,,
1978,Alabama,All,All,,
1979,Alabama,All,All,,
1980,Alabama,All,All,,
1981,Alabama,All,All,,
1982,Alabama,All,All,,
1983,Alabama,All,All,,
1984,Alabama,All,All,,
1985,Alabama,All,All,,
1986,Alabama,All,All,,
1987,Alabama,All,All,,
1988,Alabama,All,All,9,0.009
1989,Alabama,All,All,13,0.013
1990,Alabama,All,All,19861,19.861
