"state","GEOID","county_name","nTracts","nZip","ovarea3","ovpct3","arearank3","RpctTfld","Rscen3","ovarea6","ovpct6","arearank6","RtrFld6","Rscen6","ctyEmp","empz","empzw3","Remp3","empzw6","Remp6","RsmEmp3","RsmEmp6","commEng","commRel","recEng","recRel","mnFshScr","Rfish","fshRnk","pop15","ppct3","popw3","rankp3","ppct6","popw6","rankp6","houseu","hpct3","housew3","rankh3","hpct6","housew6","rankh6","smHse","seashw3","smHse3","seashw6","smHse6","sovich3","sovi3","sovich6","sovi6","OempTot","OceanPct","OceanRnk","totRd3","fldRoad3","pctRd3","rd3kmRnk","rd3PcRnk","rdRnkMn3","totRd6","fldRd6","pctRd6","rd6KmRnk","rd6PctRnk","rdRnkMn6","totRl3","fldRl3","pctRl3","rl3kmRnk","rl3PctRnk","rlRnkKmMn3","totRl6","fldRl6","pctRl6","rl6kmRnk","rl6PctRnk","rlRnkKmMn6","rr3Rank","rrRnk3Mean","rr6Rnk","rrRnk6Mn","totInfra","rnkScr3","rnkInfFld3","rnkScr6","rnkInfFld6"
"Delaware","10000","State Summary",127,35,"629498708.00","31.80",2,36.3,22.3,"756475240.00","38.20",24.7,36.3,42.7,"429370","232007.90","45954.20",12.3,37.7,"63975.20",15,36.7,1.04,1.04,1.13,1.26,1.118,,22.7,"509581","10.00","51154.50",43.3,"12.90","65694.20",42.3,"241799","14.80","35811.80",42.7,"19.40","46984.70",40.3,"32806","18711.30",25.7,"23085",81,,28,,62,"24411","10.50",30,220.7,6,"2.70",26.5,32,29.3,220.7,9.7,"4.40",58,32.5,30.8,59.9,17.1,"28.50",12.5,4.5,8.5,172.9,34.6,"20.00",19,24,21.5,26.7,18.9,36.7,30.8,208,88.1,24.7,34.6,21.3
"Delaware","10001","Kent",23,7,"242260556.70","39.00",1,25,47,"285966938.60","46.00",23,27,63,"65987","43437.30","11158.90",15,40,"12853.00",20,39,1,1.07,1,1.22,1.074,27,14,"115771","6.10","7045.70",55,"7.60","8772.40",54,"46247","6.80","3148.50",55,"8.50","3908.30",54,955,337.5,26,362,25,258.93,21,246.5,62,"5277","8.00",29,,,,,,,,,,,,,,,,,,,,,,,,,46,,47,,73,33.4,33,40.4,34
"Delaware","10003","New Castle",77,15,"135216842.30","22.30",2,49,12,"158612130.80","26.10",30,50,34,"286566","146381.40","20351.20",8,13,"33033.00",9,12,1.04,1,1,1.08,1.031,34,16,"306913","7.60","23308.70",53,"9.80","29949.60",52,"123346","7.20","8849.00",54,"9.40","11566.00",52,735,74.6,8,101,10,-185.76,48,-187.18,63,"10159","3.50",46,220.71,6.01,"2.70",11,22,16.5,220.71,9.65,"4.40",16,23,19.5,53.9,15.01,"27.90",5,6,5.5,129.08,31.22,"24.20",8,15,11.5,5,11,21,19.5,68,28.2,31,31.8,21
"Delaware","10005","Sussex",27,13,"252021309.40","33.60",3,35,8,"311896169.50","41.60",21,32,31,"76817","42189.20","14444.10",14,60,"18089.20",16,59,1.09,1.04,1.39,1.48,1.25,19,38,"86897","23.90","20800.10",22,"31.00","26972.20",21,"72206","33.00","23814.30",19,"43.60","31510.40",15,"31116","18299.20",43,"22621",46,587.04,15,648.46,61,"8975","11.70",15,,,,42,42,42,,,,42,42,42,6,2.14,"35.60",20,3,11.5,43.78,3.37,"7.70",30,33,31.5,29,26.8,42,42,67,26.5,10,31.6,9
"Maryland","24000","State Summary","1108",210,"8680767736.00","36.40",11.5,37,27,"9748593723.00","40.80",16.6,39.1,47.1,"1653101","906749.20","76561.50",39.6,33.5,"94304.20",41.1,32.3,0.66,0.64,1.21,1.32,0.957,,18.1,"4521064","10.70","484585.50",31.6,"12.30","554303.20",33.3,"1987710","12.90","256179.70",31.1,"15.10","299607.80",32.8,"90398","61525.70",37.4,"69327",581,,30.4,,52.5,"87097","9.60",27.6,768.6,40.6,"5.30",31.9,30.6,31.3,867,44.2,"5.10",367,32.7,33,171.1,5.1,"3.00",37.8,38,37.91,237.8,11.5,"4.80",40.4,40.6,40.5,36.5,34.6,33.2,33,"1173",486.6,20.4,34.6,22.4
"Maryland","24003","Anne Arundel",208,36,"329820436.30","17.70",4,55,20,"370295580.00","19.80",16,56,36,"267653","260229.40","19217.70",10,21,"21887.90",15,17,0.69,0.69,1.13,1.03,0.883,55,11,"1110560","11.60","128671.30",46,"13.00","144233.60",47,"435090","11.80","51232.90",46,"13.10","56840.20",47,"5940","2345.40",34,"2654",32,-266.7,54,-297.62,60,"27839","10.40",20,269.76,0.54,"0.20",31,33,32,269.76,0.61,"0.20",31,33,32,13.5,0.38,"2.80",36,38,37,13.49,0.42,"3.10",41,44,42.5,39,34.5,32,32,346,29.6,15,32,18
"Maryland","24005","Baltimore",127,14,"391370436.50","52.90",5,14,17,"415351713.90","56.20",11,18,42,"373523","65299.70","7359.80",26,15,"9334.40",28,13,0.79,0.79,1,1,0.894,54,13,"457654","13.50","61766.00",40,"15.90","72565.20",42,"192004","13.50","25986.30",41,"15.90","30580.80",42,"1088",551.5,40,606,39,9.82,28,-20.39,51,"6224","1.70",54,370.02,15.97,"4.30",4,18,11,399.03,19.26,"4.80",6,22,14,30.1,1.49,"5.00",23,29,26,52.15,5.87,"11.20",24,27,25.5,17,18.5,13,14,44,28.8,14,33.1,16
"Maryland","24009","Calvert",36,13,"217725277.10","18.50",7,54,24,"232667858.40","19.80",25,57,53,"24142","22636.20","3540.30",37,30,"3904.60",42,29,0.43,0.43,1.86,1.43,1.036,32,21,"180228","16.90","30477.30",31,"18.20","32757.40",37,"68768","17.70","12195.00",30,"19.10","13109.30",36,"2670",984.1,28,"1054",28,-144.56,43,-152.94,56,"2576","10.70",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,29.9,30,35.3,35
"Maryland","24015","Cecil",26,13,"375080171.10","24.70",8,46,7,"388824730.60","25.60",14,52,37,"31667","26757.80","1600.70",48,34,"1814.80",48,31,0.67,0.67,1.33,1.33,1,38,7,"146094","16.70","24420.90",33,"17.90","26167.30",38,"62648","17.20","10804.30",31,"18.40","11539.60",37,"4016","1554.40",32,"1611",29,46.91,27,47.09,50,"3923","12.40",13,7.25,4.83,"66.60",14,1,7.5,65.02,4.85,"7.50",19,16,17.5,43.6,1.5,"3.40",22,35,28.5,58.22,1.71,"2.90",35,45,40,16,18,19,17.5,102,26.4,23,32.2,25
"Maryland","24017","Charles",60,20,"291436407.30","15.90",9,60,56,"319245892.20","17.40",20,62,61,"42920","41796.30",580.5,53,7,689.6,54,7,0.42,0.42,1,1.25,0.771,57,12,"305508","4.80","14658.80",56,"5.20","15889.90",56,"114312","5.20","5963.80",56,"5.70","6465.30",56,"1112",355.5,24,390,23,7.36,29,-4.55,52,"1691","4.10",42,,,,,,,,,,,,,,,,,,,,,,,,,45,,36,,131,35.1,27,39.3,28
"Maryland","24019","Dorchester",13,10,"2388821303.50","76.30",10,1,18,"2625201871.50","83.90",1,2,49,"11202","6914.80","3668.10",36,57,"4737.40",36,57,0.57,0.57,1.14,1.64,0.982,53,15,"46329","33.80","15681.70",12,"38.80","17998.80",14,"23992","37.80","9058.90",12,"43.10","10344.50",16,"2072","1900.70",63,"1911",58,283,20,340.33,49,"1596","14.20",8,,,,50,50,50,,,,50,50,50,12.5,0.01,"0.10",46,47,46.5,12.51,0.02,"0.10",49,49,49,50,48.3,50,50,5,29.4,21,34.6,23
"Maryland","24025","Harford",58,9,"409498436.10","40.40",11,23,29,"414795460.00","41.00",12,34,46,"91428","46073.40","2727.70",41,27,"3264.10",44,25,0.8,0.8,1.33,1.27,1.05,31,9,"257975","9.90","25598.40",48,"10.90","28102.70",51,"104468","10.40","10897.20",48,"11.40","11926.50",51,308,76.1,20,81,18,-166.77,45,-194.08,58,"7748","8.50",26,5.01,1.97,"39.30",21,2,11.5,5.01,1.97,"39.30",26,1,13.5,30,1.44,"4.80",24,31,27.5,36.54,1.96,"5.40",34,38,36,19,19.5,12,13.5,47,30.5,22,34.3,24
"Maryland","24029","Kent",6,6,"284723736.70","22.10",12,50,36,"321981971.80","25.00",19,53,58,"7901","1239.20",164.2,60,47,195,60,46,0.82,0.82,1.09,1.55,1.068,28,27,"20526","23.80","4888.40",23,"27.00","5543.70",23,"12634","25.80","3257.30",23,"29.30","3704.90",24,"3160","1290.50",36,"1470",34,"1334.67",5,"1333.00",45,867,"11.00",17,,,,47,47,47,,,,47,47,47,2.8,0.07,"2.40",43,40,41.5,2.76,0.08,"2.80",47,46,46.5,46,44.3,47,47,37,31.3,29,36.6,33
