"IndustrySummary","Type","Sector","SubSector","Industry","Year","employment_T","compensation_M"
"All Industries","All Industries",,,,2020,"2224",177220.00
"    Private industries"," Private industries",,,,2020,"1520",87937.00
"        Agriculture, forestry, fishing, and hunting"," Private industries","Agriculture, forestry, fishing, and hunting",,,2020,"14",1077.00
"            Farms"," Private industries","Agriculture, forestry, fishing, and hunting","Farms",,2020,"2",83.00
"            Forestry, fishing, and related activities"," Private industries","Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities",,2020,"13",994.00
"        Mining"," Private industries","Mining","Forestry, fishing, and related activities",,2020,"65",8558.00
"            Oil and gas extraction"," Private industries","Mining","Oil and gas extraction",,2020,"5",4842.00
"            Mining, except oil and gas"," Private industries","Mining","Mining, except oil and gas",,2020,"4",307.00
"            Support activities for mining"," Private industries","Mining","Support activities for mining",,2020,"57",3409.00
"        Utilities"," Private industries","Utilities","Support activities for mining",,2020,"9",1296.00
"        Construction"," Private industries","Construction","Support activities for mining",,2020,"81",2908.00
"        Manufacturing"," Private industries","Manufacturing","Support activities for mining",,2020,"134",10734.00
"            Durable goods"," Private industries","Manufacturing","Durable goods",,2020,"103",8783.00
"                Wood products"," Private industries","Manufacturing","Durable goods","Wood products",2020,"0",1.00
"                Nonmetallic mineral products"," Private industries","Manufacturing","Durable goods","Nonmetallic mineral products",2020,"0",18.00
"                Primary metals"," Private industries","Manufacturing","Durable goods","Primary metals",2020,"0",1.00
"                Fabricated metal products"," Private industries","Manufacturing","Durable goods","Fabricated metal products",2020,"1",37.00
"                Machinery"," Private industries","Manufacturing","Durable goods","Machinery",2020,"11",1417.00
"                Computer and electronic products"," Private industries","Manufacturing","Durable goods","Computer and electronic products",2020,"0",65.00
"                Electrical equipment, appliances, and components"," Private industries","Manufacturing","Durable goods","Electrical equipment, appliances, and components",2020,"1",106.00
"                Motor vehicles, bodies and trailers, and parts"," Private industries","Manufacturing","Durable goods","Motor vehicles, bodies and trailers, and parts",2020,"1",56.00
"                Other transportation equipment"," Private industries","Manufacturing","Durable goods","Other transportation equipment",2020,"85",6730.00
"                Furniture and related products"," Private industries","Manufacturing","Durable goods","Furniture and related products",2020,"0",7.00
"                Miscellaneous manufacturing"," Private industries","Manufacturing","Durable goods","Miscellaneous manufacturing",2020,"4",344.00
"            Nondurable goods"," Private industries","Manufacturing","Nondurable goods",,2020,"31",1950.00
