"State","Nmfsname"
"Alabama","All Species"
"Alabama","Harvestfishes"
"Alabama","Tuna, Little Tunny"
"Alabama","Brotula, Bearded"
"Alabama","Tripletail"
"Alabama","Mackerel, King And Cero"
"Alabama","Triggerfishes"
"Alabama","Catfishes-Bullheads, Other"
"Alabama","Catfishes, Sea"
"Alabama","Squids, Loliginidae"
"Alabama","Porgy, Red"
"Alabama","Vertebrates, Jawed"
"Alabama","Spadefish"
"Alabama","Runner, Blue"
"Alabama","Bluefish"
"Alabama","Amberjacks"
"Alabama","Croaker, Atlantic"
"Alabama","Crustaceans"
"Alabama","Ladyfish"
"Alabama","Spot"
"Alabama","Seatrout, Sand"
"Alabama","Kingfishes"
"Alabama","Snapper, Vermilion"
"Alabama","Sharks, Chondrichthyes"
"Alabama","Drum, Black"
"Alabama","Groupers, Serranidae"
"Alabama","Mullet, White"
"Alabama","Pompano, Florida"
"Alabama","Sheepshead"
"Alabama","Vertebrates, Jawed"
"Alabama","Menhadens"
"Alabama","Snapper, Red"
"Alabama","Mackerel, Spanish"
"Alabama","Flatfishes"
"Alabama","Shrimps, Rock"
"Alabama","Shrimp, Royal Red"
"Alabama","Mullet, Striped"
"Alabama","Oyster, Eastern"
"Alabama","Shrimp, Northern Pink"
"Alabama","Crab, Blue"
"Alabama","Shrimp, Northern White"
"Alabama","Shrimp, Northern Brown"
"Alaska","All Species"
"Alaska","Rockfish, Yellowtail"
"Alaska","Rockfish, Canary"
"Alaska","Sculpins"
"Alaska","Skates, Rajidae"
"Alaska","Smelts"
"Alaska","Salmon, Pacific"
"Alaska","Lingcod"
"Alaska","Sole, Dover"
"Alaska","Clam, Pacific Geoduck"
"Alaska","Urchins, Sea, Strongylocentrotus"
"Alaska","Vertebrates, Jawed"
"Alaska","Flounder, Arrowtooth"
"Alaska","Flatfishes"
"Alaska","Sole, Flathead"
"Alaska","Rockfish, Pacific Ocean Perch"
"Alaska","Crustaceans"
"Alaska","Halibut, Greenland"
"Alaska","Scallop, Weathervane"
"Alaska","Crab, Southern Tanner"
"Alaska","Crab, Dungeness"
"Alaska","Shrimps, Penaeid"
"Alaska","Sole, Yellowfin"
"Alaska","Rockfishes"
"Alaska","Sole, Rock"
"Alaska","Mackerel, Atka"
"Alaska","Herring, Pacific"
"Alaska","Salmon, Chinook"
"Alaska","Salmon, Coho"
"Alaska","Salmon, Pink"
"Alaska","Salmon, Chum"
"Alaska","Crab, Snow"
"Alaska","Crab, King"
"Alaska","Sablefish"
"Alaska","Halibut, Pacific"
"Alaska","Cod, Pacific"
"Alaska","Salmon, Sockeye"
"Alaska","Pollock, Walleye "
"California","All Species"
"California","Cod, Pacific"
"California","Rockfish, Bronzespotted"
"California","Rockfish, Rosy"
"California","Shark, Blue"
"California","Rockfish, Flag"
"California","Rockfish, Greenstriped"
"California","Squids, Loliginidae"
"California","Rockfish, Speckled"
"California","Queenfish"
"California","Rockfish, Starry"
"California","Prickleback, Monkeyface"
"California","Rockfish, Greenblotched"
"California","Echinoderm"
"California","Crab, King"
"California","Clam, California Jackknife"
"California","Clams"
"California","Flounders, Righteye"
"California","Tunas"
"California","Rockfish, Aurora"
"California","Rockfish, Cowcod"
"California","Rockfish, Shortbelly"
