"Year ","Port ","State","millionPounds"," millionDollars "
2021,"Dutch Harbor, AK","AK",745,249
2021,"Aleutian Islands (Other), AK","AK",499.3,168.4
2021,"Empire-Venice, LA","LA",302.6,102.3
2021,"Reedville, VA","VA",301.3,466.5
2021,"Kodiak, AK","AK",299.1,121.2
2021,"Intracoastal City, LA","LA",296.1,33.8
2021,"Pascagoula-Moss Point, MS","MS",205.5,210.5
2021,"Naknek, AK","AK",160.6,245.2
2021,"Astoria, OR","OR",154.5,52.7
2021,"Westport, WA","WA",132.6,71.5
2021,"Alaska Penninsula (Other), AK","AK",127.6,94.5
2021,"Cordova, AK","AK",122.7,69.7
2021,"Cape May-Wildwood, NJ","NJ",113.5,147.7
2021,"Newport, OR","OR",112.6,74.2
2021,"New Bedford, MA","MA",104,569.7
2021,"Sitka, AK","AK",78.5,73.4
2021,"Valdez, AK","AK",73.1,29.8
2021,"Ketchikan, AK","AK",59.5,44.3
2021,"Bristol Bay (Other), AK","AK",51.4,148.8
2021,"Gloucester, MA","MA",47.1,80.3
2021,"Petersburg, AK","AK",44.3,38.3
2021,"Point Judith, RI","RI",44.1,72.1
2021,"Port Hueneme-Oxnard-Ventura, CA","CA",37.5,31.8
2021,"Seward, AK","AK",31.1,37
2021,"Dulac-Chauvin, LA","LA",30.6,53.6
2021,"Bayou La Batre, AL","AL",29.2,77.3
2021,"Honolulu, HI","HI",27.1,118.5
2021,"Monterey, CA","CA",26.5,17
2021,"Moss Landing, CA","CA",21.6,12
2021,"Craig, AK","AK",21,22.7
2021,"Los Angeles, CA","CA",20.4,16.5
2021,"Port Arthur, TX","TX",18.8,48.3
2021,"North Kingstown, RI","RI",17.9,15.3
2021,"Coos Bay-Charleston, OR","OR",17.8,34.8
2021,"Atlantic City, NJ","NJ",17.5,12.4
2021,"Palacios, TX","TX",17.1,48.1
2021,"Galveston, TX","TX",17,62.8
2021,"Juneau, AK","AK",16.7,30.6
2021,"Brownsville-Port Isabel, TX","TX",16.4,50.1
2021,"Egegik, AK","AK",15.9,26.1
2021,"Delacroix-Yscloskey, LA","LA",14.9,42.9
2021,"Boston, MA","MA",14.3,18.4
2021,"Provincetown-Chatham, MA","MA",13.2,35.5
2021,"Kenai, AK","AK",13.1,12.1
2021,"Golden Meadow-Leeville, LA","LA",12.7,24.4
2021,"Point Pleasant, NJ","NJ",12.5,33.7
2021,"Stonington, ME","ME",11.8,73.2
2021,"Wanchese-Stumpy Point, NC","NC",10.9,23
2021,"Key West, FL","FL",10.8,66.9
2021,"Brookings, OR","OR",10.4,12.7
2021,"Portland, ME","ME",10.3,32.9
2021,"Hampton Roads Area, VA","VA",10.2,42.3
2021,"Montauk, NY","NY",9.7,16.7
2021,"Lafitte-Barataria, LA","LA",9.7,15
2021,"Grand Isle, LA","LA",9.7,15
2021,"Tampa Bay-St. Petersburg, FL","FL",9,34.5
2021,"Vinalhaven, ME","ME",8.1,55.8
2021,"Eureka, CA","CA",8.1,13.2
2021,"Princeton-Half Moon Bay, CA","CA",7.8,14
2021,"Friendship, ME","ME",7.8,40.7
2021,"Jonesport, ME","ME",7.6,15.1
2021,"Portsmouth, NH","NH",7,11.1
2021,"Beaufort-Morehead City, NC","NC",7,18
2021,"Beals Island, ME","ME",6.9,35.6
2021,"Fort Myers, FL","FL",6.7,20.3
2021,"Ilwaco-Chinook, WA","WA",6.5,24.3
2021,"Spruce Head, ME","ME",6.3,31.5
2021,"Newport, RI","RI",6.3,6.4
2021,"Morgan City-Berwick, LA","LA",5.8,8.8
2021,"Mayport, FL","FL",5.6,15.1
2021,"Iberia, LA","LA",5.6,9.3
2021,"Yakutat, AK","AK",5.3,15.9
2021,"Gulfport-Biloxi, MS","MS",5.3,12.1
2021,"Port of Lake Charles, LA","LA",5.1,8.9
2021,"Homer, AK","AK",5,21.8
2021,"Fort Bragg, CA","CA",5,8.3
2021,"Orleans, LA","LA",4.9,9.5
2021,"Dillingham-Togiak, AK","AK",4.9,7.3
2021,"Slidell-Covington, LA","LA",4.6,11
2021,"Long Beach-Barnegat, NJ","NJ",4.4,26.9
2021,"Bellingham, WA","WA",4.4,16.5
2021,"Winchester Bay, OR","OR",4.3,8.3
2021,"Engelhard-Swanquarter, NC","NC",4.3,9
2021,"Crescent City, CA","CA",4.3,20.1
2021,"Oriental-Vandemere, NC","NC",4.1,11.4
2021,"Rockland, ME","ME",4,10.6
2021,"Accomac, VA","VA",3.9,10.3
2021,"Newington, NH","NH",3.7,30
2021,"Tenants Harbor, ME","ME",3.3,14
2021,"Columbia, NC","NC",3.3,4.2
2021,"Willapa Bay, WA","WA",3.2,12.6
2021,"Fairhaven, MA","MA",3.2,8.3
2021,"Port Clyde, ME","ME",3.1,11.9
2021,"Hampton Bay-Shinnicock, NY","NY",3.1,4.8
2021,"Stonington, CT","CT",3,7.2
2021,"Shelton, WA","WA",3,21.3
2021,"Ocean City, MD","MD",3,5.6
2021,"San Francisco Area, CA","CA",2.9,11.2
2021,"Little Compton, RI","RI",2.9,2.5
2021,"Cundys Harbor, ME","ME",2.9,19.3
2021,"Anacortes-La Conner, WA","WA",2.9,18.1
2021,"Southwest Harbor, ME","ME",2.8,20.7
2021,"South Bristol, ME","ME",2.8,12.2
2021,"Milbridge, ME","ME",2.7,18.3
2021,"Belford, NJ","NJ",2.7,1.5
2021,"Tillamook, OR","OR",2.6,11.2
2021,"Darien-Bellville, GA","GA",2.5,9.6
2021,"Chincoteague, VA","VA",2.5,3.8
2021,"Stuben, ME","ME",2.4,14.8
2021,"Upper Southeast (Other), AK","AK",2.3,7
2021,"Harrington, ME","ME",2.3,16.5
2021,"Boothbay Harbor, ME","ME",2.3,11.5
2021,"San Diego, CA","CA",2.2,9.2
2021,"Bodega Bay, CA","CA",2.2,10.7
2021,"Wrangell, AK","AK",2.1,5.8
2021,"Swans Island, ME","ME",2.1,14.5
2021,"Santa Barbara, CA","CA",2.1,11.4
2021,"Cushing, ME","ME",2.1,15.2
2021,"Prospect Harbor, ME","ME",2,13
2021,"Machiasport, ME","ME",2,10.9
2021,"New London, CT","CT",1.9,2.9
2021,"Neah Bay, WA","WA",1.9,4.6
2021,"Bass Harbor, ME","ME",1.9,13.2
2021,"Anchorage, AK","AK",1.9,2
2021,"Owls Head, ME","ME",1.8,12.2
2021,"Cranberry Isles, ME","ME",1.8,11.4
2021,"Pembroke, ME","ME",1.5,1
2021,"Sneads Ferry-Swansboro, NC","NC",1.2,3.8
2021,"Blaine, WA","WA",1.2,8
2021,"Belhaven-Washington, NC","NC",1.2,2.2
2021,"Brunswick, GA","GA",1.1,5.9
2021,"Norton/Kotzebue Sound, AK","AK",1,0.7
2021,"Seattle, WA","WA",0.9,8.5
2021,"Savannah, GA","GA",0.8,5
2021,"Olympia, WA","WA",0.6,8.9
2021,"Morro Bay, CA","CA",0.6,2
2021,"Tacoma, WA","WA",0.5,7.7
2020,"Dutch Harbor, AK","AK",800.2,186.7
2020,"Aleutian Islands (Other), AK","AK",517.5,112.3
2020,"Kodiak, AK","AK",363.7,87.7
2020,"Reedville, VA","VA",301.5,63.9
2020,"Empire-Venice, LA","LA",210.3,67.6
2020,"Astoria, OR","OR",182.1,42.9
2020,"Pago Pago, AS","AS",169.7,107.9
2020,"Naknek, AK","AK",154.4,242.3
2020,"Intracoastal City, LA","LA",137.2,15.7
2020,"Newport, OR","OR",117.2,59.8
2020,"New Bedford, MA","MA",115.4,376.6
2020,"Westport, WA","WA",113.1,50.6
2020,"Alaska Penninsula (Other), AK","AK",109,45.2
2020,"Cape May-Wildwood, NJ","NJ",103.7,92.8
2020,"Pascagoula-Moss Point, MS","MS",90.9,12.9
2020,"Gloucester, MA","MA",48.8,50.1
2020,"Point Judith, RI","RI",42.6,46.7
2020,"Cordova, AK","AK",42.4,25.5
