,structCompId,complexId.x,abandonFlag,allocMtrFlag,attended8Hr,condenProdFlag,distToShore,drillingFlag,firedVesselFl,gasProdFlag,gasFlaringFlag,mmsCompanyNum,manned24Hr,majCmplxFlag,leaseNum,lastRevDate.x,lactMtrFlag,injectionCode,heliportFlag,workoverFlag,waterProdFlag,waterDepth,tankGaugeFlag,sulfurProdFlag,subdistrictCode,storeTankFlag,rigCount,qtrType,prodEqpmtFlag,productionFlag,powerSourceType,powerGenFlag,oilProdFlag,gasSaleMtrFlag,fldNameCode,districtCode.x,craneCounty,compressorFlag,comglProdFlag,bedCount,areaCode.x,blockNumber.x,meterProverFl,districtCode.y,structNum,areaCode.y,blockNumber.y,structName,srfNrthSthDist,nrthSthDepCode.x,srfEstWstDist.x,estWstDepCode.x,xLoc,yLoc,longitude,latitude,areaCode,blockNumber,complexId.y,deckCount,estWstDepCode.y,installDate,lastRevDate.y,majStructFlg,nrthSthDepCode.y,removalDate,slantSlotCount,slotCount,slotDrillCount,satelliteCompletionCount,structureName,structureNumber,structureTypeCode,srfEstWstDist.y,srfNrtSthDist,underwaterCompCount,authorityType,authorityNumber,authorityStatus,removalYr,installYr
1,10_1,10,Y,N,N,N,7,N,N,N,N,1284,N,N,335,3-Jun-14,N,N,N,N,N,15,N,N,NA,N,0,N,N,N,NA,N,N,N,SS032,2,0,N,N,NA,SS,32,N,2,1,SS,32,E-1,2250,S,4012,E,2011588,143803.53,-91.29706582,29.0620987,SS,32,10,1,E,30-Aug-77,10-Jul-14,N,S,1-Nov-16,NA,1,1,NA,E-1,1,WP,4012,2250,NA,OCS LEASE,335,TERMIN,2016,1977
2,10001_1,10001,Y,N,N,N,32,N,N,N,N,40,N,N,G01733,15-Aug-94,N,NA,N,N,N,110,N,N,NA,N,NA,N,N,N,NA,N,N,N,BA541,4,NA,N,NA,NA,BA,541,NA,4,1,BA,541,A,3517,S,5554,E,3137601.81,185677,-95.464728,28.296692,BA,541,10001,1,E,1-Jan-72,15-Aug-94,N,S,31-Dec-79,NA,6,3,NA,A,1,WP,5554,3517,0,OCS LEASE,G01733,EXPIR,1979,1972
3,10002_1,10002,N,N,N,N,26,N,N,N,N,11,N,N,NA,3-Oct-19,N,NA,Y,N,N,95,N,N,NA,N,0,N,N,N,NA,Y,N,N,BA538,4,1,N,NA,NA,BA,538,NA,4,1,BA,538,A-VALVE(DOT),7283,N,8358,E,3087277.81,190717,-95.620576,28.314639,BA,538,10002,2,E,1-Jan-69,26-Nov-07,N,N,NA,NA,0,0,0,A-VALVE(DOT),1,FIXED,8358,7283,0,ROW,G04976,ACT,NA,1969
4,10003_1,10003,Y,Y,N,Y,11,N,N,Y,N,105,N,Y,509,14-Sep-10,N,N,Y,N,Y,44,N,N,NA,N,0,T,Y,Y,NA,N,N,Y,HI052,4,1,N,NA,4,HI,52,N,4,1,HI,52,A,6400,N,1481,W,3540636.81,619280,-94.157704,29.44884,HI,52,10003,1,W,1-Jan-55,14-Sep-10,Y,N,6-Nov-15,NA,10,9,2,A,1,FIXED,1481,6400,0,OCS LEASE,509,TERMIN,2015,1955
5,10004_1,10004,Y,N,N,N,13,N,N,N,N,1764,N,Y,511,15-Aug-94,N,N,N,N,N,45,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI052,4,NA,N,N,NA,HI,52,N,4,1,HI,52,B,7284,S,7279,W,3546434.81,617124,-94.1397835,29.44225437,HI,52,10004,2,W,1-Jan-69,15-Aug-94,Y,S,25-Nov-89,NA,3,3,0,B,1,FIXED,7279,7284,0,OCS LEASE,511,TERMIN,1989,1969
6,10005_1,10005,Y,N,N,N,25,N,N,N,N,56,N,N,741,15-Aug-94,N,NA,N,N,N,49,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI160,4,NA,N,NA,NA,HI,135,NA,4,1,HI,135,4,8136,N,1538,W,3556533.81,554184,-94.116336,29.268141,HI,135,10005,1,W,1-Jan-64,15-Aug-94,N,N,18-Jun-91,NA,3,1,NA,4,1,WP,1538,8136,0,OCS LEASE,741,TERMIN,1991,1964
7,10006_1,10006,Y,N,N,N,25,N,N,N,N,2957,N,N,742,23-Jul-15,N,NA,Y,N,N,49,N,N,NA,N,0,N,N,N,NA,N,N,N,HI160,4,0,N,NA,NA,HI,136,NA,4,1,HI,136,3,5796,N,1055,E,3553940.81,556524,-94.124156,29.274868,HI,136,10006,2,E,1-Jan-64,11-Mar-03,N,N,8-Oct-10,NA,3,3,NA,3,1,WP,1055,5796,0,OCS LEASE,742,TERMIN,2010,1964
8,10007_1,10007,Y,N,N,N,27,N,N,N,N,2957,N,N,744,23-Jul-15,N,NA,Y,N,N,52,N,N,NA,N,0,N,Y,N,NA,N,N,N,HI160,4,0,N,NA,NA,HI,161,NA,4,1,HI,161,B,7839,S,200,W,3555195.81,538479,-94.122583,29.225137,HI,161,10007,2,W,1-Jan-66,12-Mar-03,N,S,8-Nov-10,NA,0,0,0,B,1,FIXED,200,7839,0,OCS LEASE,744,TERMIN,2010,1966
9,10008_1,10008,Y,N,N,N,26,N,N,N,N,984,N,N,709,15-Aug-94,N,NA,Y,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,288,NA,4,1,GA,288,3,5978,S,661,E,3380094.81,409898,-94.68607278,28.8906747,GA,288,10008,1,E,1-Jan-63,15-Aug-94,N,S,31-Dec-85,NA,3,2,0,3,1,WP,661,5978,0,OCS LEASE,709,TERMIN,1985,1963
10,1001_1,1001,N,Y,Y,Y,59,N,N,Y,Y,2481,Y,Y,NA,3-Oct-19,Y,G,Y,N,Y,6340,N,N,NA,Y,0,P,Y,Y,G,Y,Y,Y,NA,1,2,Y,Y,99,MC,474,Y,1,1,MC,474,A(NA KIKA FPDS),6983,N,6988,W,1226668,10352377,-88.28878889,28.52090278,MC,474,1001,NA,W,2-Aug-03,18-Sep-12,Y,N,NA,NA,NA,0,NA,A(NA KIKA FPDS),1,SEMI,6988,6983,5,RUE,G23624,Approved,NA,2003
11,10010_1,10010,Y,Y,N,N,11,N,Y,N,Y,915,N,N,92,15-Aug-94,N,NA,Y,N,N,58,N,N,NA,Y,NA,N,Y,N,NA,N,N,Y,GA189,4,NA,N,NA,NA,GA,189,NA,4,1,GA,189,A,6930,S,990,E,3379765.81,505890,-94.676011,29.154549,GA,189,10010,1,E,1-Jan-58,15-Aug-94,N,S,31-Dec-80,NA,4,4,0,A,1,WP,990,6930,0,OCS LEASE,92,TERMIN,1980,1958
12,10011_1,10011,Y,N,N,N,20,N,N,N,N,1482,N,N,518,24-Sep-01,N,NA,Y,N,N,45,N,N,NA,N,0,N,N,N,NA,N,N,N,HI140,4,0,N,NA,NA,HI,140,N,4,1,HI,140,C,5381,N,1361,W,3477156.81,556939,-94.364773,29.284594,HI,140,10011,2,W,1-Jan-73,11-Apr-02,N,N,2-Sep-07,NA,4,4,0,C,1,WP,1361,5381,0,OCS LEASE,518,TERMIN,2007,1973
13,10012_1,10012,Y,N,N,N,19,N,N,N,N,3033,N,Y,518,11-Feb-16,N,NA,Y,N,N,54,N,N,NA,N,0,P,Y,N,G,Y,N,N,HI140,4,1,Y,NA,10,HI,140,N,4,1,HI,140,A,4176,S,6273,E,3485362.81,550656,-94.339835,29.26643,HI,140,10012,2,E,1-Jan-63,26-Aug-08,Y,S,16-Oct-16,NA,5,5,3,A,1,FIXED,6273,4176,0,OCS LEASE,518,TERMIN,2016,1963
14,10012_2,10012,Y,N,N,N,19,N,N,N,N,3033,N,Y,518,11-Feb-16,N,NA,Y,N,N,54,N,N,NA,N,0,P,Y,N,G,Y,N,N,HI140,4,1,Y,NA,10,HI,140,N,4,2,HI,140,A-AUXILIARY,4113,S,6225,E,3485410.81,550593,-94.3396932,29.26625183,HI,140,10012,2,E,2-Dec-93,19-Nov-04,N,S,23-Jul-16,NA,6,6,NA,A-AUXILIARY,2,FIXED,6225,4113,NA,OCS LEASE,518,TERMIN,2016,1993
15,10013_1,10013,Y,N,N,N,26,N,N,N,N,56,N,N,743,8-Apr-04,N,NA,N,N,N,51,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI160,4,NA,N,NA,NA,HI,160,NA,4,1,HI,160,5,1824,N,6944,W,3546099.81,544656,-94.150274,29.243151,HI,160,10013,1,W,1-Oct-65,2-Dec-98,N,N,22-Jan-01,NA,3,2,NA,5,1,WP,6944,1824,0,OCS LEASE,743,TERMIN,2001,1965
16,10014_1,10014,Y,N,N,N,25,N,N,N,N,56,N,N,741,8-Apr-04,N,NA,N,N,N,50,N,N,NA,N,0,N,N,N,NA,N,N,N,HI160,4,0,N,NA,NA,HI,135,NA,4,1,HI,135,5,5854,S,5850,E,3564985.81,552334,-94.090092,29.262084,HI,135,10014,1,E,1-Jan-65,2-Dec-98,N,S,6-Mar-01,NA,3,2,NA,5,1,WP,5850,5854,0,OCS LEASE,741,TERMIN,2001,1965
17,10015_1,10015,Y,N,N,N,25,N,N,N,N,3009,N,N,741,23-Jul-15,N,NA,Y,N,N,50,N,N,NA,N,0,N,N,N,NA,N,N,N,HI160,4,0,N,NA,NA,HI,135,N,4,1,HI,135,2,4911,S,3141,W,3558136.81,551391,-94.111678,29.260281,HI,135,10015,1,W,1-Jan-64,11-Mar-03,N,S,15-Oct-10,NA,2,2,0,2,1,WP,3141,4911,0,OCS LEASE,741,TERMIN,2010,1964
18,10016_1,10016,Y,N,N,N,27,N,N,N,N,56,N,N,744,8-Apr-04,N,NA,N,N,N,51,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI160,4,NA,N,NA,NA,HI,161,NA,4,1,HI,161,4,8121,N,2119,W,3557114.81,538359,-94.116587,29.224587,HI,161,10016,1,W,1-Jan-65,3-Nov-98,N,N,20-Mar-01,NA,3,2,0,4,1,WP,2119,8121,0,OCS LEASE,744,TERMIN,2001,1965
19,10017_1,10017,Y,N,N,N,29,N,N,N,N,1663,N,N,714,15-Sep-94,N,NA,N,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,296,N,4,1,GA,296,6,6152,N,2860,E,3377895.81,397768,-94.694335,28.857557,GA,296,10017,1,E,1-Jan-64,15-Sep-94,N,N,10-Jun-94,NA,3,3,NA,6,1,WP,2860,6152,0,OCS LEASE,714,TERMIN,1994,1964
20,10018_1,10018,Y,N,N,N,26,N,N,N,N,1663,N,N,713,15-Aug-94,N,NA,Y,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,295,NA,4,1,GA,295,1,789,N,665,W,3381420.81,403131,-94.682712,28.87194,GA,295,10018,1,W,1-Jan-63,15-Aug-94,N,N,31-Dec-86,NA,3,2,NA,1,1,WP,665,789,0,OCS LEASE,713,TERMIN,1986,1963
21,10019_1,10019,Y,N,N,N,26,N,N,N,N,1663,N,N,709,15-Sep-94,N,NA,N,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,288,N,4,1,GA,288,10,6265,S,2510,E,3378245.81,410185,-94.691814,28.891651,GA,288,10019,1,E,1-Jan-66,15-Sep-94,N,S,14-Jun-94,NA,3,3,0,10,1,WP,2510,6265,0,OCS LEASE,709,TERMIN,1994,1966
22,1002_1,1002,Y,N,N,N,24,N,Y,Y,N,2058,N,Y,G21142,23-Jul-15,NA,NA,Y,N,Y,27,Y,NA,NA,Y,0,N,Y,Y,NA,N,Y,Y,BS041,1,1,N,NA,NA,BS,41,NA,1,1,BS,41,A,4380,N,4600,W,2743200,303200,-88.99745804,29.47961021,BS,41,1002,2,W,6-Dec-01,19-May-11,Y,N,27-Aug-11,NA,1,1,NA,A,1,CAIS,4600,4380,NA,OCS LEASE,G21142,TERMIN,2011,2001
23,10020_1,10020,Y,N,N,N,26,N,N,N,N,1663,N,N,709,15-Sep-94,N,NA,N,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,288,N,4,1,GA,288,5,6475,N,1349,E,3379406.81,413285,-94.687831,28.900054,GA,288,10020,1,E,1-Jan-64,15-Sep-94,N,N,12-Jun-94,NA,2,2,0,5,1,WP,1349,6475,0,OCS LEASE,709,TERMIN,1994,1964
24,10021_1,10021,Y,N,N,N,26,N,N,N,N,1663,N,N,709,15-Sep-94,N,NA,N,N,N,68,N,N,NA,N,NA,N,N,N,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,288,N,4,1,GA,288,4,6072,S,4649,E,3376106.81,409992,-94.698516,28.891337,GA,288,10021,1,E,1-Jan-66,15-Sep-94,N,S,9-Jun-94,NA,3,3,NA,4,1,WP,4649,6072,0,OCS LEASE,709,TERMIN,1994,1966
25,10022_1,10022,Y,N,N,N,29,N,N,Y,N,984,N,N,714,15-Aug-94,N,NA,Y,N,N,68,N,N,NA,N,NA,N,N,Y,NA,N,N,N,GA288,4,NA,N,NA,NA,GA,296,NA,4,1,GA,296,2,3401,N,7263,E,3373492.81,400519,-94.707766,28.865563,GA,296,10022,1,E,1-Jan-63,15-Aug-94,N,N,31-Dec-84,NA,4,4,0,2,1,WP,7263,3401,0,OCS LEASE,714,TERMIN,1984,1963
26,10023_1,10023,Y,N,N,N,19,N,N,N,N,2630,N,N,G01812,23-Jul-15,N,NA,Y,N,N,36,N,N,NA,Y,0,N,Y,N,NA,N,N,N,HI088,4,1,Y,NA,0,HI,71,N,4,1,HI,71,A,681,S,2548,E,3599967.81,594681,-93.974769,29.374363,HI,71,10023,1,E,1-Jan-69,20-Aug-09,Y,S,8-Sep-09,NA,5,5,3,A,1,FIXED,2548,681,0,OCS LEASE,G01812,TERMIN,2009,1969
27,10023_2,10023,Y,N,N,N,19,N,N,N,N,2630,N,N,G01812,23-Jul-15,N,NA,Y,N,N,36,N,N,NA,Y,0,N,Y,N,NA,N,N,N,HI088,4,1,Y,NA,0,HI,71,N,4,2,HI,71,A-AUX,681,S,2547,E,3599968,594681,-93.974769,29.374363,HI,71,10023,2,E,1-Jan-69,20-Aug-09,N,S,9-Jul-10,NA,NA,NA,0,A-AUX,2,WP,2547,681,0,OCS LEASE,G01812,TERMIN,2010,1969
28,10024_1,10024,Y,N,N,N,24,N,N,N,N,40,N,N,G01819,15-Aug-94,N,NA,N,N,N,38,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI088,4,NA,N,NA,NA,HI,88,NA,4,1,HI,88,1,677,N,5019,E,3597496.81,593323,-93.982704,29.370923,HI,88,10024,1,E,1-Jan-68,15-Aug-94,N,N,31-Dec-76,NA,1,1,0,1,1,CAIS,5019,677,0,OCS LEASE,G01819,TERMIN,1976,1968
29,10025_1,10025,Y,N,N,Y,25,N,N,Y,N,56,N,N,741,8-Apr-04,N,NA,Y,N,Y,49,N,N,NA,N,NA,N,N,N,NA,N,N,N,HI160,4,NA,N,NA,NA,HI,135,NA,4,1,HI,135,1,4182,S,881,W,3555876.81,550662,-94.118856,29.258538,HI,135,10025,1,W,1-Jan-64,2-Dec-98,N,S,20-Feb-01,NA,3,2,0,1,1,WP,881,4182,0,OCS LEASE,741,TERMIN,2001,1964
