"","PortID","PortName","allExpValYr","cntValYr","cntValWtYr","time","Year","State","PortNameTiCase","County_GEOID","CountyName"
"1","5402","ALEXANDRIA, VA",404037,260304,805158,"2013-12","2013"," VA","Alexandria","51059","Fairfax"
"2","5313","PORT LAVACA, TX",836872581,46553149,115829262,"2013-12","2013"," TX","Port Lavaca","48057","Calhoun"
"3","5401","WASHINGTON, DC",5111609621,1491742,577363,"2013-12","2013"," DC","Washington","51013","Arlington"
"4","3202","HILO, HI",15924323,640669,1877240,"2013-12","2013"," HI","Hilo","15001","Hawaii"
"5","3115","SITKA, AK",5472892,71849,39517,"2013-12","2013"," AK","Sitka","02105","Hoonah-Angoon"
"6","3126","ANCHORAGE, AK",14708691643,100063333,42821683,"2013-12","2013"," AK","Anchorage","02170","Matanuska-Susitna"
"7","3201","HONOLULU, HI",272303436,93955349,167722049,"2013-12","2013"," HI","Honolulu","15003","Honolulu"
"8","3203","KAHULUI, HI",57550750,4349512,2661882,"2013-12","2013"," HI","Kahului","15009","Maui"
"9","3206","KONA, HI",26435873,3312309,3298686,"2013-12","2013"," HI","Kona","15001","Hawaii"
"10","3501","MINNEAPOLIS-ST. PAUL, MN",2120168975,0,0,"2013-12","2013"," MN","Minneapolis-St. Paul","27054","Hennepin"
"11","3510","DULUTH, MN - SUPERIOR, WI",498765244,1976155,281151,"2013-12","2013"," WI","Duluth","55031","Douglas"
"12","3604","INTERNATIONAL FALLS-RANIER, MN",6190908145,252128860,216161091,"2013-12","2013"," MN","International Falls","27071","Koochiching"
"13","3701","MILWAUKEE, WI",65802008,259302,46881,"2013-12","2013"," WI","Milwaukee","55133","Waukesha"
"14","3702","MARINETTE, WI",4902120,108068,7394,"2013-12","2013"," WI","Marinette","55075","Marinette"
"15","3703","GREEN BAY, WI",57232776,39235,17102,"2013-12","2013"," WI","Green Bay","55009","Brown"
"16","3706","MANITOWOC, WI",6419128,0,0,"2013-12","2013"," WI","Manitowoc","55071","Manitowoc"
"17","3707","SHEBOYGAN, WI",23557,0,0,"2013-12","2013"," WI","Sheboygan","55117","Sheboygan"
"18","3803","SAULT STE MARIE, MI",1215669450,4135223,819583,"2013-12","2013"," MI","Sault Ste. Marie","26033","Chippewa"
"19","3708","RACINE, WI",5686555,174821,9453,"2013-12","2013"," WI","Racine","55101","Racine"
"20","3801","DETROIT, MI",81546251780,714187891,140828212,"2013-12","2013"," MI","Detroit","26125","Oakland"
"21","3802","PORT HURON, MI",45535843459,412487149,62783348,"2013-12","2013"," MI","Port Huron","26147","St. Clair"
"22","3804","SAGINAW-BAY CITY, MI",18000,18000,20000,"2013-12","2013"," MI","Saginaw/Bay City","26145","Saginaw"
"23","3806","GRAND RAPIDS, MI",4271755,0,0,"2013-12","2013"," MI","Grand Rapids","26081","Kent"
"24","3808","ESCANABA, MI",1658044,0,0,"2013-12","2013"," MI","Escanaba","26041","Delta"
"25","2713","PORT HUENEME, CA",826061811,88223803,37768178,"2013-12","2013"," CA","Port Hueneme","06111","Ventura"
"26","2719","MORRO BAY, CA",459036,97744,18755,"2013-12","2013"," CA","Morro Bay","06079","San Luis Obispo"
"27","2802","EUREKA, CA",22686198,0,0,"2013-12","2013"," CA","Eureka","06023","Humboldt"
"28","2805","MONTEREY, CA",586663,491562,128811,"2013-12","2013"," CA","Monterey","06053","Monterey"
"29","2809","SAN FRANCISCO, CA",1662066016,40901193,40036641,"2013-12","2013"," CA","San Francisco","06081","San Mateo"
"30","2810","STOCKTON, CA",354862184,26100,120757,"2013-12","2013"," CA","Stockton","06077","San Joaquin"
"31","2811","OAKLAND, CA",20142461443,14576710981,6586432990,"2013-12","2013"," CA","Oakland","06001","Alameda"
"32","2812","RICHMOND, CA",1483320270,172754092,181580637,"2013-12","2013"," CA","Richmond","06001","Alameda"
"33","2829","SAN PABLO BAY, CA",129323981,43309616,50191884,"2013-12","2013"," CA","San Pablo Bay","06013","Contra Costa"
"34","2820","MARTINEZ, CA",1342813780,0,0,"2013-12","2013"," CA","Martinez","06013","Contra Costa"
"35","2821","REDWOOD CITY, CA",138625,0,0,"2013-12","2013"," CA","Redwood City","06081","San Mateo"
"36","2830","CARQUINEZ STRAIT, CA",32465153,0,0,"2013-12","2013"," CA","Carquinez Strait","06013","Contra Costa"
"37","2901","ASTORIA, OR",51248977,1171669,156802,"2013-12","2013"," OR","Astoria","41007","Clatsop"
"38","2902","NEWPORT, OR",15839624,10583345,3685580,"2013-12","2013"," OR","Newport","41041","Lincoln"
"39","2903","COOS BAY, OR",170406096,2449760,38062436,"2013-12","2013"," OR","Coos Bay","41011","Coos"
"40","2904","PORTLAND, OR",4423066195,782803698,716088928,"2013-12","2013"," OR","Portland","41067","Washington"
"41","2905","LONGVIEW, WA",3138083345,18235224,77378308,"2013-12","2013"," WA","Longview","53015","Cowlitz"
"42","2908","VANCOUVER, WA",2086606009,89118016,155597955,"2013-12","2013"," WA","Vancouver","53011","Clark"
"43","2909","KALAMA, WA",3216136703,556511,202681,"2013-12","2013"," WA","Kalama","53015","Cowlitz"
"44","3001","SEATTLE, WA",7695371982,4936843721,4457367473,"2013-12","2013"," WA","Seattle","53035","Kitsap"
"45","3002","TACOMA, WA",11151597279,7551097971,4926214468,"2013-12","2013"," WA","Tacoma","53053","Pierce"
"46","3003","ABERDEEN-HOQUIAM, WA",2983868599,10900873,1290549,"2013-12","2013"," WA","Aberdeen","53027","Grays Harbor"
"47","3004","BLAINE, WA",17348592191,64124074,14817877,"2013-12","2013"," WA","Blaine","53073","Whatcom"
"48","3005","BELLINGHAM, WA",517474796,5780187,2537934,"2013-12","2013"," WA","Bellingham","53073","Whatcom"
"49","3006","EVERETT, WA",22374734040,272009770,15355566,"2013-12","2013"," WA","Everett","53061","Snohomish"
"50","3007","PORT ANGELES, WA",162394008,0,0,"2013-12","2013"," WA","Port Angeles","53009","Clallam"
"51","3008","PORT TOWNSEND, WA",553762985,550206952,889915,"2013-12","2013"," WA","Port Townsend","53031","Jefferson"
"52","3009","SUMAS, WA",1751010783,0,0,"2013-12","2013"," WA","Sumas","53073","Whatcom"
"53","3010","ANACORTES, WA",2235356802,420720,148771,"2013-12","2013"," WA","Anacortes","53057","Skagit"
"54","3014","FRIDAY HARBOR, WA",420992,0,0,"2013-12","2013"," WA","Friday Harbor","53055","San Juan"
"55","3023","LYNDEN, WA",150480395,0,0,"2013-12","2013"," WA","Lynden","53073","Whatcom"
"56","3026","OLYMPIA, WA",126146893,460028,1072859,"2013-12","2013"," WA","Olympia","53067","Thurston"
"57","3101","JUNEAU, AK",246482013,180304,98816,"2013-12","2013"," AK","Juneau","02105","Hoonah-Angoon"
"58","3102","KETCHIKAN, AK",62571722,917246,439046,"2013-12","2013"," AK","Ketchikan","02130","Ketchikan Gateway"
"59","3103","SKAGWAY, AK",138899451,0,0,"2013-12","2013"," AK","Skagway","02230","Skagway"
"60","3105","WRANGELL, AK",10162004,9601483,5115078,"2013-12","2013"," AK","Wrangell","02275","Wrangell"
"61","3111","FAIRBANKS, AK",51398437,246141,105,"2013-12","2013"," AK","Fairbanks","02090","Fairbanks North Star"
