"","PortID","PortName","ExpTotValue","ExpContainerValue","ExpContainerWeight","time","Year","State","PortNameTiCase","County_GEOID","CountyName","ImpContainerValue","ImpContainerWt","TotPortWt","TotPortContainerVal","TotPortVal","rnkTotValue","rnkTotPortWt","rnkExpValue","rnkExpContainerWt","rnkImpContainerVal","rnkImpContainerWt"
"1","3003","ABERDEEN-HOQUIAM, WA",2983868599,10900873,1290549,"2013-12","2013"," WA","Aberdeen","53027","Grays Harbor",7608231,1325647,2616196,18509104,2991476830,55,71,41,59,61,74
"2","3003","ABERDEEN-HOQUIAM, WA",3573834249,2800948,432628,"2014-12","2014"," WA","Aberdeen","53027","Grays Harbor",21354572,37105488,37538116,24155520,3595188821,55,71,41,59,61,74
"3","3003","ABERDEEN-HOQUIAM, WA",2497939925,7085326,752335,"2015-12","2015"," WA","Aberdeen","53027","Grays Harbor",5857741,23826204,24578539,12943067,2503797666,55,71,41,59,61,74
"4","3003","ABERDEEN-HOQUIAM, WA",1770368317,210555661,16316956,"2016-12","2016"," WA","Aberdeen","53027","Grays Harbor",21200512,2113588,18430544,231756173,1791568829,55,71,41,59,61,74
"5","3003","ABERDEEN-HOQUIAM, WA",1642030202,327585453,25089802,"2017-12","2017"," WA","Aberdeen","53027","Grays Harbor",198437959,16898482,41988284,526023412,1840468161,55,71,41,59,61,74
"6","3003","ABERDEEN-HOQUIAM, WA",1472434776,306735533,22164692,"2018-12","2018"," WA","Aberdeen","53027","Grays Harbor",712297,161378,22326070,307447830,1473147073,55,71,41,59,61,74
"7","3003","ABERDEEN-HOQUIAM, WA",2077504864,604856492,67374300,"2019-12","2019"," WA","Aberdeen","53027","Grays Harbor",3186839,606707,67981007,608043331,2080691703,55,71,41,59,61,74
"8","3003","ABERDEEN-HOQUIAM, WA",980846967,2788162,193726,"2020-12","2020"," WA","Aberdeen","53027","Grays Harbor",619183,56297,250023,3407345,981466150,55,71,41,59,61,74
"9","3003","ABERDEEN-HOQUIAM, WA",917254950,337269,248598,"2021-12","2021"," WA","Aberdeen","53027","Grays Harbor",963713,104754,353352,1300982,918218663,55,71,41,59,61,74
"10","1002","ALBANY, NY",770840441,3059098,226803,"2013-12","2013"," NY","Albany","36001","Albany",21326936,35498257,35725060,24386034,792167377,78,57,62,83,57,48
"11","1002","ALBANY, NY",1295278395,6593754,7553043,"2014-12","2014"," NY","Albany","36001","Albany",14672895,119574461,127127504,21266649,1309951290,78,57,62,83,57,48
"12","1002","ALBANY, NY",783872033,3199468,174641,"2015-12","2015"," NY","Albany","36001","Albany",24571574,136174082,136348723,27771042,808443607,78,57,62,83,57,48
"13","1002","ALBANY, NY",283136873,7388662,468460,"2016-12","2016"," NY","Albany","36001","Albany",44370207,9272733,9741193,51758869,327507080,78,57,62,83,57,48
"14","1002","ALBANY, NY",275877022,9619609,810489,"2017-12","2017"," NY","Albany","36001","Albany",99635113,140992535,141803024,109254722,375512135,78,57,62,83,57,48
"15","1002","ALBANY, NY",263098475,2625793,317712,"2018-12","2018"," NY","Albany","36001","Albany",107914249,95990553,96308265,110540042,371012724,78,57,62,83,57,48
"16","1002","ALBANY, NY",176683334,25250281,783147,"2019-12","2019"," NY","Albany","36001","Albany",4155873,39240011,40023158,29406154,180839207,78,57,62,83,57,48
"17","1002","ALBANY, NY",152936369,66707159,2693436,"2020-12","2020"," NY","Albany","36001","Albany",20994554,107980415,110673851,87701713,173930923,78,57,62,83,57,48
"18","1002","ALBANY, NY",257162226,90761217,3635045,"2021-12","2021"," NY","Albany","36001","Albany",58598316,61353872,64988917,149359533,315760542,78,57,62,83,57,48
