"","PortID","PortName","allCntImpValyr","allCntImpYr","time","Year","State","PortNameTiCase","County_GEOID","CountyName"
"1","0714","CLAYTON, NY",19859,4332,"2013-12","2013"," NY","Clayton","36045","Jefferson"
"2","0901","BUFFALO-NIAGARA FALLS, NY",18566088,40870086,"2013-12","2013"," NY","Buffalo-Niagara Falls","36029","Erie"
"3","0903","ROCHESTER, NY",777323,41623,"2013-12","2013"," NY","Rochester","36055","Monroe"
"4","0904","OSWEGO, NY",37036552,80418908,"2013-12","2013"," NY","Oswego","36075","Oswego"
"5","0905","SODUS POINT, NY",0,0,"2013-12","2013"," NY","Sodus Point","36117","Wayne"
"6","0906","SYRACUSE, NY",0,0,"2013-12","2013"," NY","Syracuse","36067","Onondaga"
"7","1001","NEW YORK, NY",8770503712,2322053104,"2013-12","2013"," NY","New York","36005","Bronx"
"8","1002","ALBANY, NY",21326936,35498257,"2013-12","2013"," NY","Albany","36001","Albany"
"9","1101","PHILADELPHIA, PA",5656605768,2216820543,"2013-12","2013"," PA","Philadelphia","42017","Bucks"
"10","1102","CHESTER, PA",3471301736,721597558,"2013-12","2013"," PA","Chester","42045","Delaware"
"11","1103","WILMINGTON, DE",700883327,1170926397,"2013-12","2013"," DE","Wilmington","34033","Salem"
"12","1104","PITTSBURGH, PA",0,0,"2013-12","2013"," PA","Pittsburgh","42003","Allegheny"
"13","1105","PAULSBORO, NJ",0,0,"2013-12","2013"," NJ","Paulsboro","42045","Delaware"
"14","1107","CAMDEN, NJ",3602382,2352251,"2013-12","2013"," NJ","Camden","42101","Philadelphia"
"15","1301","ANNAPOLIS, MD",6833476,1095682,"2013-12","2013"," MD","Annapolis","24003","Anne Arundel"
"16","1303","BALTIMORE, MD",15363653827,3664929350,"2013-12","2013"," MD","Baltimore","24005","Baltimore"
"17","1401","NORFOLK-NEWPORT NEWS, VA",34884957265,7060091465,"2013-12","2013"," VA","Norfolk-Newport News","51811","Virginia Beach"
"18","1404","RICHMOND-PETERSBURG, VA",30959605,31337135,"2013-12","2013"," VA","Richmond-Petersburg","51812","Virginia Beach"
"19","1409","CHARLESTON, WV",0,0,"2013-12","2013"," WV","Charleston","51813","Virginia Beach"
"20","1501","WILMINGTON, NC",3944024312,1097364024,"2013-12","2013"," NC","Wilmington","37129","New Hanover"
"21","1502","WINSTON-SALEM, NC",0,0,"2013-12","2013"," NC","Winston-Salem","37067","Forsyth"
"22","1503","DURHAM, NC",0,0,"2013-12","2013"," NC","Durham","37183","Wake"
"23","1511","BEAUFORT-MOREHEAD CITY, NC",311867276,129399246,"2013-12","2013"," NC","Beaufort-Morehead Cty","37031","Carteret"
"24","1512","CHARLOTTE, NC",0,0,"2013-12","2013"," NC","Charlotte","45091","York"
"25","1601","CHARLESTON, SC",37984729802,5251308723,"2013-12","2013"," SC","Charleston","45019","Charleston"
"26","1602","GEORGETOWN, SC",508325,93593,"2013-12","2013"," SC","Georgetown","45043","Georgetown"
"27","1604","COLUMBIA, SC",0,0,"2013-12","2013"," SC","Columbia","45079","Richland"
"28","1701","BRUNSWICK, GA",805698567,82849535,"2013-12","2013"," GA","Brunswick","13127","Glynn"
"29","1703","SAVANNAH, GA",39454425512,8507965892,"2013-12","2013"," GA","Savannah","13103","Effingham"
"30","1704","ATLANTA, GA",0,0,"2013-12","2013"," GA","Atlanta","13067","Cobb"
"31","1801","TAMPA, FL",492284429,280201388,"2013-12","2013"," FL","Tampa","12057","Hillsborough"
"32","1803","JACKSONVILLE, FL",4055254446,1194843667,"2013-12","2013"," FL","Jacksonville","12089","Nassau"
"33","1805","FERNANDINA, FL",1460961,243800,"2013-12","2013"," FL","Fernandina Beach","12089","Nassau"
"34","1808","ORLANDO, FL",0,0,"2013-12","2013"," FL","Orlando","12097","Osceola"
"35","1814","ST. PETERSBURG, FL",128901,10192,"2013-12","2013"," FL","St. Petersburg","12057","Hillsborough"
"36","1816","PORT CANAVERAL, FL",16946409,30792315,"2013-12","2013"," FL","Port Canaveral","12009","Brevard"
"37","1818","PANAMA CITY, FL",1095252484,179963163,"2013-12","2013"," FL","Panama City","12005","Bay"
"38","1819","PENSACOLA, FL",2048080,658074,"2013-12","2013"," FL","Pensacola","12113","Santa Rosa"
"39","1821","PORT MANATEE, FL",133905701,266441854,"2013-12","2013"," FL","Port Manatee","12081","Manatee"
"40","1901","MOBILE, AL",3083242873,1423764531,"2013-12","2013"," AL","Mobile","01003","Baldwin"
"41","1902","GULFPORT, MS",1271716288,771255307,"2013-12","2013"," MS","Gulfport","28047","Harrison"
"42","1903","PASCAGOULA, MS",275308,96097,"2013-12","2013"," MS","Pascagoula","28059","Jackson"
"43","1904","BIRMINGHAM, AL",0,0,"2013-12","2013"," AL","Birmingham","01073","Jefferson"
"44","1910","HUNTSVILLE, AL",0,0,"2013-12","2013"," AL","Huntsville","01103","Morgan"
"45","2001","MORGAN CITY, LA",92494956,7670836,"2013-12","2013"," LA","Morgan City","22101","St. Mary"
"46","2002","NEW ORLEANS, LA",5592405671,2766193859,"2013-12","2013"," LA","New Orleans","22071","Orleans"
"47","3501","MINNEAPOLIS-ST. PAUL, MN",0,0,"2013-12","2013"," MN","Minneapolis-St. Paul","27054","Hennepin"
"48","3510","DULUTH, MN - SUPERIOR, WI",14334270,19603784,"2013-12","2013"," WI","Duluth","55031","Douglas"
"49","3604","INTERNATIONAL FALLS-RANIER, MN",524616370,126944232,"2013-12","2013"," MN","International Falls","27071","Koochiching"
"50","3701","MILWAUKEE, WI",18355137,988384,"2013-12","2013"," WI","Milwaukee","55133","Waukesha"
"51","3702","MARINETTE, WI",11419,2049,"2013-12","2013"," WI","Marinette","55075","Marinette"
"52","3703","GREEN BAY, WI",9239546,3400574,"2013-12","2013"," WI","Green Bay","55009","Brown"
"53","3708","RACINE, WI",57127,20235,"2013-12","2013"," WI","Racine","55101","Racine"
"54","3801","DETROIT, MI",239778546,127865557,"2013-12","2013"," MI","Detroit","26125","Oakland"
"55","3802","PORT HURON, MI",84657137,11812722,"2013-12","2013"," MI","Port Huron","26147","St. Clair"
"56","3803","SAULT STE MARIE, MI",0,0,"2013-12","2013"," MI","Sault Ste. Marie","26033","Chippewa"
"57","3804","SAGINAW-BAY CITY, MI",447869,34491,"2013-12","2013"," MI","Saginaw/Bay City","26145","Saginaw"
"58","3806","GRAND RAPIDS, MI",0,0,"2013-12","2013"," MI","Grand Rapids","26081","Kent"
"59","3808","ESCANABA, MI",129222,17438,"2013-12","2013"," MI","Escanaba","26041","Delta"
"60","3809","MARQUETTE, MI",627,376,"2013-12","2013"," MI","Marquette","26103","Marquette"
"61","3815","MUSKEGON, MI",0,0,"2013-12","2013"," MI","Muskegon","26121","Muskegon"
"62","3818","ROGERS CITY, MI",0,0,"2013-12","2013"," MI","Rogers City","26141","Presque Isle"
"63","3843","ALPENA, MI",0,0,"2013-12","2013"," MI","Alpena","26007","Alpena"
"64","3901","CHICAGO, IL",457747906,89060211,"2013-12","2013"," IL","Chicago","17043","DuPage"
"65","3902","PEORIA, IL",106918,21660,"2013-12","2013"," IL","Peoria","17143","Peoria"
"66","3905","GARY, IN",0,0,"2013-12","2013"," IN","Gary","18127","Porter"
"67","4101","CLEVELAND, OH",17731526,3039205,"2013-12","2013"," OH","Cleveland","39035","Cuyahoga"
"68","4102","CINCINNATI-LAWRENCEBURG, OH",0,0,"2013-12","2013"," OH","Cincinnati","39061","Hamilton"
"69","4103","COLUMBUS, OH",0,0,"2013-12","2013"," OH","Columbus","39045","Fairfield"
"70","4104","DAYTON, OH",0,0,"2013-12","2013"," OH","Dayton","39113","Montgomery"
"71","4105","TOLEDO-SANDUSKY, OH",23967898,46755608,"2013-12","2013"," OH","Toledo","39173","Wood"
"72","4106","ERIE, PA",606658,165100,"2013-12","2013"," PA","Erie","42049","Erie"
"73","4117","HURON, OH",34274,6907,"2013-12","2013"," OH","Huron","39043","Erie"
"74","5201","MIAMI, FL",12028278354,2511020638,"2013-12","2013"," FL","Miami","12086","Miami-Dade"
"75","5202","KEY WEST, FL",83596,23552,"2013-12","2013"," FL","Key West","12087","Monroe"
"76","5203","PORT EVERGLADES, FL",7612420786,2442738970,"2013-12","2013"," FL","Port Everglades","12011","Broward"
"77","5204","WEST PALM BEACH, FL",303436122,127463071,"2013-12","2013"," FL","West Palm Beach","12099","Palm Beach"
"78","5205","FORT PIERCE, FL",109234,1817160,"2013-12","2013"," FL","Fort Pierce","12111","St. Lucie"
"79","5301","HOUSTON, TX",24524136632,8313745183,"2013-12","2013"," TX","Houston","48339","Montgomery"
"80","5306","TEXAS CITY, TX",3964751,1615936,"2013-12","2013"," TX","Texas City","48071","Chambers"
"81","5310","GALVESTON, TX",647337604,285590733,"2013-12","2013"," TX","Galveston","48167","Galveston"
"82","5311","FREEPORT, TX",217969049,397005258,"2013-12","2013"," TX","Freeport","48039","Brazoria"
"83","5312","CORPUS CHRISTI, TX",377944088,108478366,"2013-12","2013"," TX","Corpus Christi","48409","San Patricio"
"84","5313","PORT LAVACA, TX",257509306,333512719,"2013-12","2013"," TX","Port Lavaca","48057","Calhoun"
"85","5401","WASHINGTON, DC",1493693,188006,"2013-12","2013"," DC","Washington","51013","Arlington"
"86","5402","ALEXANDRIA, VA",0,0,"2013-12","2013"," VA","Alexandria","51059","Fairfax"
"87","2004","BATON ROUGE, LA",314232576,699071362,"2013-12","2013"," LA","Baton Rouge","22121","West Baton Rouge"
"88","2010","GRAMERCY, LA",181771956,415472430,"2013-12","2013"," LA","Gramercy","22093","St. James"
"89","2011","GREENVILLE, MS",71630,11754,"2013-12","2013"," MS","Greenville","05017","Chicot"
"90","2015","VICKSBURG, MS",11086,420,"2013-12","2013"," MS","Vicksburg","22065","Madison"
"91","2017","LAKE CHARLES, LA",2622864,3226124,"2013-12","2013"," LA","Lake Charles","22019","Calcasieu"
"92","2018","SHREVEPORT-BOSSIER CITY, LA",0,0,"2013-12","2013"," LA","Shreveport/Bossier City","22017","Caddo "
"93","2101","PORT ARTHUR, TX",96195008,161281865,"2013-12","2013"," TX","Port Arthur","22023","Cameron"
"94","2103","ORANGE, TX",0,0,"2013-12","2013"," TX","Orange","48361","Orange"
"95","2104","BEAUMONT, TX",352685522,532481385,"2013-12","2013"," TX","Beaumont","48199","Hardin"
"96","2501","SAN DIEGO, CA",952897340,513014903,"2013-12","2013"," CA","San Diego","06073","San Diego"
"97","2704","LOS ANGELES, CA",216366137735,34226275184,"2013-12","2013"," CA","Los Angeles","06037","Los Angeles"
"98","2709","LONG BEACH, CA",62234797660,9258136600,"2013-12","2013"," CA","Long Beach","06059","Orange"
"99","2712","VENTURA, CA",50691,8864,"2013-12","2013"," CA","Ventura","06111","Ventura"
"100","2713","PORT HUENEME, CA",345421488,194164920,"2013-12","2013"," CA","Port Hueneme","06111","Ventura"
"101","2719","MORRO BAY, CA",114881,24093,"2013-12","2013"," CA","Morro Bay","06079","San Luis Obispo"
"102","2802","EUREKA, CA",338937,63972,"2013-12","2013"," CA","Eureka","06023","Humboldt"
"103","2805","MONTEREY, CA",151825,15411,"2013-12","2013"," CA","Monterey","06053","Monterey"
"104","2809","SAN FRANCISCO, CA",661339023,208492630,"2013-12","2013"," CA","San Francisco","06081","San Mateo"
"105","2810","STOCKTON, CA",131243577,291646303,"2013-12","2013"," CA","Stockton","06077","San Joaquin"
"106","2811","OAKLAND, CA",25882658654,5838693888,"2013-12","2013"," CA","Oakland","06001","Alameda"
"107","2812","RICHMOND, CA",219749228,264697167,"2013-12","2013"," CA","Richmond","06001","Alameda"
"108","2815","CROCKETT, CA",0,0,"2013-12","2013"," CA","Crockett","06013","Contra Costa"
"109","2820","MARTINEZ, CA",0,0,"2013-12","2013"," CA","Martinez","06013","Contra Costa"
"110","2821","REDWOOD CITY, CA",0,0,"2013-12","2013"," CA","Redwood City","06081","San Mateo"
"111","2827","SELBY, CA",0,0,"2013-12","2013"," CA","Selby","06013","Contra Costa"
"112","2829","SAN PABLO BAY, CA",3576639,1162347,"2013-12","2013"," CA","San Pablo Bay","06013","Contra Costa"
"113","2830","CARQUINEZ STRAIT, CA",0,0,"2013-12","2013"," CA","Carquinez Strait","06013","Contra Costa"
"114","0101","PORTLAND, ME",157248353,44880254,"2013-12","2013"," ME","Portland","23005","Cumberland"
"115","0102","BANGOR, ME",0,0,"2013-12","2013"," ME","Bangor","23019","Penobscot"
"116","0103","EASTPORT, ME",67827,78600,"2013-12","2013"," ME","Eastport","23029","Washington"
"117","0105","VANCEBORO, ME",0,0,"2013-12","2013"," ME","Vanceboro","23029","Washington"
"118","0106","HOULTON, ME",0,0,"2013-12","2013"," ME","Houlton","23003","Aroostook"
"119","0108","VAN BUREN, ME",0,0,"2013-12","2013"," ME","Van Buren","23003","Aroostook"
"120","0109","MADAWASKA, ME",0,0,"2013-12","2013"," ME","Madawaska","23003","Aroostook"
"121","0110","FORT KENT, ME",0,0,"2013-12","2013"," ME","Fort Kent","23003","Aroostook"
"122","0115","CALAIS, ME",0,0,"2013-12","2013"," ME","Calais","23029","Washington"
"123","0118","LIMESTONE, ME",0,0,"2013-12","2013"," ME","Limestone","23003","Aroostook"
"124","0131","PORTSMOUTH, NH",37753553,9526255,"2013-12","2013"," NH","Portsmouth","33015","Rockingham"
"125","0132","BELFAST, ME",3960065,471025,"2013-12","2013"," ME","Belfast","23027","Waldo"
"126","0152","SEARSPORT, ME",68364,19293,"2013-12","2013"," ME","Searsport","23027","Waldo"
"127","0401","BOSTON, MA",3629821406,833446259,"2013-12","2013"," MA","Boston","25021","Norfolk"
"128","0403","WORCESTER, MA",0,0,"2013-12","2013"," MA","Worcester","25027","Worcester"
"129","0404","GLOUCESTER, MA",366265,34042,"2013-12","2013"," MA","Gloucester","25009","Essex"
"130","0405","NEW BEDFORD, MA",1240544,804373,"2013-12","2013"," MA","New Bedford","25005","Bristol"
"131","0406","PLYMOUTH, MA",33537,3600,"2013-12","2013"," MA","Plymouth","25023","Plymouth"
"132","0407","FALL RIVER, MA",385673,102738,"2013-12","2013"," MA","Fall River","44005","Newport"
"133","0408","SALEM, MA",281038,12492,"2013-12","2013"," MA","Salem","25009","Essex"
"134","0410","BRIDGEPORT, CT",112821,21935,"2013-12","2013"," CT","Bridgeport","09001","Fairfield"
"135","0411","HARTFORD, CT",0,0,"2013-12","2013"," CT","Hartford","09003","Hartford"
"136","0412","NEW HAVEN, CT",29837,9100,"2013-12","2013"," CT","New Haven","09009","New Haven"
"137","0413","NEW LONDON, CT",484963,613433,"2013-12","2013"," CT","New London","09011","New London"
"138","0501","NEWPORT, RI",39705,18720,"2013-12","2013"," RI","Newport","44005","Newport"
"139","0502","PROVIDENCE, RI",584237854,28171401,"2013-12","2013"," RI","Providence","44007","Providence"
"140","0503","MELLVILLE, RI",30084,12806,"2013-12","2013"," RI","Mellville","44005","Newport"
"141","0701","OGDENSBURG, NY",988153,1318890,"2013-12","2013"," NY","Ogdensburg","36089","St. Lawrence"
"142","0704","MASSENA, NY",793094,113588,"2013-12","2013"," NY","Massena","36089","St. Lawrence"
"143","0706","CAPE VINCENT, NY",0,0,"2013-12","2013"," NY","Cape Vincent","36045","Jefferson"
"144","0708","ALEXANDRIA BAY, NY",19736571,33464,"2013-12","2013"," NY","Alexandria Bay","36045","Jefferson"
"145","2901","ASTORIA, OR",1538096,495662,"2013-12","2013"," OR","Astoria","41007","Clatsop"
"146","2902","NEWPORT, OR",0,0,"2013-12","2013"," OR","Newport","41041","Lincoln"
"147","2903","COOS BAY, OR",0,0,"2013-12","2013"," OR","Coos Bay","41011","Coos"
"148","2904","PORTLAND, OR",2154389673,1131273923,"2013-12","2013"," OR","Portland","41067","Washington"
"149","2905","LONGVIEW, WA",209123,136236,"2013-12","2013"," WA","Longview","53015","Cowlitz"
"150","2908","VANCOUVER, WA",37847006,27452891,"2013-12","2013"," WA","Vancouver","53011","Clark"
"151","2909","KALAMA, WA",11891822,14325067,"2013-12","2013"," WA","Kalama","53015","Cowlitz"
"152","3001","SEATTLE, WA",20242168387,4186254387,"2013-12","2013"," WA","Seattle","53035","Kitsap"
"153","3002","TACOMA, WA",32791625070,4444336557,"2013-12","2013"," WA","Tacoma","53053","Pierce"
"154","3003","ABERDEEN-HOQUIAM, WA",7608231,1325647,"2013-12","2013"," WA","Aberdeen","53027","Grays Harbor"
"155","3004","BLAINE, WA",20878742,1154244,"2013-12","2013"," WA","Blaine","53073","Whatcom"
"156","3005","BELLINGHAM, WA",1426668,103838,"2013-12","2013"," WA","Bellingham","53073","Whatcom"
"157","3006","EVERETT, WA",1321829574,5167302,"2013-12","2013"," WA","Everett","53061","Snohomish"
"158","3007","PORT ANGELES, WA",60320,18613,"2013-12","2013"," WA","Port Angeles","53009","Clallam"
"159","3008","PORT TOWNSEND, WA",573352,6538,"2013-12","2013"," WA","Port Townsend","53031","Jefferson"
"160","3009","SUMAS, WA",0,0,"2013-12","2013"," WA","Sumas","53073","Whatcom"
"161","3010","ANACORTES, WA",80025,825753,"2013-12","2013"," WA","Anacortes","53057","Skagit"
"162","3014","FRIDAY HARBOR, WA",860289,42562,"2013-12","2013"," WA","Friday Harbor","53055","San Juan"
"163","3023","LYNDEN, WA",0,0,"2013-12","2013"," WA","Lynden","53073","Whatcom"
"164","3026","OLYMPIA, WA",0,0,"2013-12","2013"," WA","Olympia","53067","Thurston"
"165","3101","JUNEAU, AK",344711,3902,"2013-12","2013"," AK","Juneau","02105","Hoonah-Angoon"
"166","3102","KETCHIKAN, AK",0,0,"2013-12","2013"," AK","Ketchikan","02130","Ketchikan Gateway"
"167","3103","SKAGWAY, AK",0,0,"2013-12","2013"," AK","Skagway","02230","Skagway"
"168","3105","WRANGELL, AK",0,0,"2013-12","2013"," AK","Wrangell","02275","Wrangell"
"169","3111","FAIRBANKS, AK",0,0,"2013-12","2013"," AK","Fairbanks","02090","Fairbanks North Star"
"170","3115","SITKA, AK",0,0,"2013-12","2013"," AK","Sitka","02105","Hoonah-Angoon"
"171","3126","ANCHORAGE, AK",35292958,36072583,"2013-12","2013"," AK","Anchorage","02170","Matanuska-Susitna"
