"","X","fips","cty_name","state","st_name","ctyNmFips","stAbbrSt"
"1",NA,NA,"","","US Totals","","US Totals"
"2",NA,NA,"All Coastal States","","All Coastal States","All Coastal States","All Coastal States"
"3",NA,NA,"Shore Adjacent Regions","","Shore Adjacent Regions","Shore Adjacent Regions","Shore Adjacent Regions"
"4",NA,NA,"State Totals","AL","Alabama","State Totals","Alabama=AL"
"5",1,"01001","Autauga","AL","Alabama","Autauga=01001","Alabama=AL"
"6",2,"01003","Baldwin","AL","Alabama","Baldwin=01003","Alabama=AL"
"7",3,"01005","Barbour","AL","Alabama","Barbour=01005","Alabama=AL"
"8",4,"01007","Bibb","AL","Alabama","Bibb=01007","Alabama=AL"
"9",5,"01009","Blount","AL","Alabama","Blount=01009","Alabama=AL"
"10",6,"01011","Bullock","AL","Alabama","Bullock=01011","Alabama=AL"
"11",7,"01013","Butler","AL","Alabama","Butler=01013","Alabama=AL"
"12",8,"01015","Calhoun","AL","Alabama","Calhoun=01015","Alabama=AL"
"13",9,"01017","Chambers","AL","Alabama","Chambers=01017","Alabama=AL"
"14",10,"01019","Cherokee","AL","Alabama","Cherokee=01019","Alabama=AL"
"15",11,"01021","Chilton","AL","Alabama","Chilton=01021","Alabama=AL"
"16",12,"01023","Choctaw","AL","Alabama","Choctaw=01023","Alabama=AL"
"17",13,"01025","Clarke","AL","Alabama","Clarke=01025","Alabama=AL"
"18",14,"01027","Clay","AL","Alabama","Clay=01027","Alabama=AL"
"19",15,"01029","Cleburne","AL","Alabama","Cleburne=01029","Alabama=AL"
"20",16,"01031","Coffee","AL","Alabama","Coffee=01031","Alabama=AL"
"21",17,"01033","Colbert","AL","Alabama","Colbert=01033","Alabama=AL"
"22",18,"01035","Conecuh","AL","Alabama","Conecuh=01035","Alabama=AL"
"23",19,"01037","Coosa","AL","Alabama","Coosa=01037","Alabama=AL"
"24",20,"01039","Covington","AL","Alabama","Covington=01039","Alabama=AL"
"25",21,"01041","Crenshaw","AL","Alabama","Crenshaw=01041","Alabama=AL"
"26",22,"01043","Cullman","AL","Alabama","Cullman=01043","Alabama=AL"
"27",23,"01045","Dale","AL","Alabama","Dale=01045","Alabama=AL"
"28",24,"01047","Dallas","AL","Alabama","Dallas=01047","Alabama=AL"
"29",25,"01049","DeKalb","AL","Alabama","DeKalb=01049","Alabama=AL"
"30",26,"01051","Elmore","AL","Alabama","Elmore=01051","Alabama=AL"
"31",27,"01053","Escambia","AL","Alabama","Escambia=01053","Alabama=AL"
"32",28,"01055","Etowah","AL","Alabama","Etowah=01055","Alabama=AL"
"33",29,"01057","Fayette","AL","Alabama","Fayette=01057","Alabama=AL"
"34",30,"01059","Franklin","AL","Alabama","Franklin=01059","Alabama=AL"
"35",31,"01061","Geneva","AL","Alabama","Geneva=01061","Alabama=AL"
"36",32,"01063","Greene","AL","Alabama","Greene=01063","Alabama=AL"
"37",33,"01065","Hale","AL","Alabama","Hale=01065","Alabama=AL"
