,fips,cty_name,state,st_name
,,,,US Totals
,,State Totals,AL,Alabama
1,1001,Autauga,AL,Alabama
2,1003,Baldwin,AL,Alabama
3,1005,Barbour,AL,Alabama
4,1007,Bibb,AL,Alabama
5,1009,Blount,AL,Alabama
6,1011,Bullock,AL,Alabama
7,1013,Butler,AL,Alabama
8,1015,Calhoun,AL,Alabama
9,1017,Chambers,AL,Alabama
10,1019,Cherokee,AL,Alabama
11,1021,Chilton,AL,Alabama
12,1023,Choctaw,AL,Alabama
13,1025,Clarke,AL,Alabama
14,1027,Clay,AL,Alabama
15,1029,Cleburne,AL,Alabama
16,1031,Coffee,AL,Alabama
17,1033,Colbert,AL,Alabama
18,1035,Conecuh,AL,Alabama
19,1037,Coosa,AL,Alabama
20,1039,Covington,AL,Alabama
21,1041,Crenshaw,AL,Alabama
22,1043,Cullman,AL,Alabama
23,1045,Dale,AL,Alabama
24,1047,Dallas,AL,Alabama
25,1049,DeKalb,AL,Alabama
26,1051,Elmore,AL,Alabama
27,1053,Escambia,AL,Alabama
28,1055,Etowah,AL,Alabama
29,1057,Fayette,AL,Alabama
30,1059,Franklin,AL,Alabama
31,1061,Geneva,AL,Alabama
32,1063,Greene,AL,Alabama
33,1065,Hale,AL,Alabama
34,1067,Henry,AL,Alabama
35,1069,Houston,AL,Alabama
36,1071,Jackson,AL,Alabama
37,1073,Jefferson,AL,Alabama
38,1075,Lamar,AL,Alabama
39,1077,Lauderdale,AL,Alabama
40,1079,Lawrence,AL,Alabama
41,1081,Lee,AL,Alabama
42,1083,Limestone,AL,Alabama
43,1085,Lowndes,AL,Alabama
44,1087,Macon,AL,Alabama
45,1089,Madison,AL,Alabama
46,1091,Marengo,AL,Alabama
47,1093,Marion,AL,Alabama
48,1095,Marshall,AL,Alabama
49,1097,Mobile,AL,Alabama
50,1099,Monroe,AL,Alabama
51,1101,Montgomery,AL,Alabama
52,1103,Morgan,AL,Alabama
53,1105,Perry,AL,Alabama
54,1107,Pickens,AL,Alabama
55,1109,Pike,AL,Alabama
56,1111,Randolph,AL,Alabama
57,1113,Russell,AL,Alabama
58,1115,St. Clair,AL,Alabama
59,1117,Shelby,AL,Alabama
60,1119,Sumter,AL,Alabama
61,1121,Talladega,AL,Alabama
62,1123,Tallapoosa,AL,Alabama
63,1125,Tuscaloosa,AL,Alabama
64,1127,Walker,AL,Alabama
65,1129,Washington,AL,Alabama
66,1131,Wilcox,AL,Alabama
67,1133,Winston,AL,Alabama
,,State Totals,AK,Alaska
68,2013,Aleutians East Borough,AK,Alaska
69,2016,Aleutians West Census Area,AK,Alaska
70,2020,Anchorage Municipality,AK,Alaska
71,2050,Bethel Census Area,AK,Alaska
72,2060,Bristol Bay Borough,AK,Alaska
73,2068,Denali Borough,AK,Alaska
74,2070,Dillingham Census Area,AK,Alaska
75,2090,Fairbanks North Star Borough,AK,Alaska
76,2100,Haines Borough,AK,Alaska
77,2105,Hoonah-Angoon Census Area,AK,Alaska
78,2110,Juneau City and Borough,AK,Alaska
79,2122,Kenai Peninsula Borough,AK,Alaska
80,2130,Ketchikan Gateway Borough,AK,Alaska
81,2150,Kodiak Island Borough,AK,Alaska
82,2164,Lake and Peninsula Borough,AK,Alaska
83,2170,Matanuska-Susitna Borough,AK,Alaska
84,2180,Nome Census Area,AK,Alaska
85,2185,North Slope Borough,AK,Alaska
86,2188,Northwest Arctic Borough,AK,Alaska
87,2195,Petersburg Borough,AK,Alaska
88,2198,Prince of Wales-Hyder Census Area,AK,Alaska
89,2220,Sitka City and Borough,AK,Alaska
90,2230,Skagway Municipality,AK,Alaska
91,2240,Southeast Fairbanks Census Area,AK,Alaska
92,2261,Valdez-Cordova Census Area,AK,Alaska
93,2270,Wade Hampton Census Area,AK,Alaska
94,2275,Wrangell City and Borough,AK,Alaska
95,2282,Yakutat City and Borough,AK,Alaska
96,2290,Yukon-Koyukuk Census Area,AK,Alaska
,,State Totals,CA,California
97,6001,Alameda,CA,California
98,6003,Alpine,CA,California
99,6005,Amador,CA,California
100,6007,Butte,CA,California
101,6009,Calaveras,CA,California
102,6011,Colusa,CA,California
103,6013,Contra Costa,CA,California
104,6015,Del Norte,CA,California
105,6017,El Dorado,CA,California
106,6019,Fresno,CA,California
107,6021,Glenn,CA,California
108,6023,Humboldt,CA,California
109,6025,Imperial,CA,California
110,6027,Inyo,CA,California
111,6029,Kern,CA,California
112,6031,Kings,CA,California
113,6033,Lake,CA,California
114,6035,Lassen,CA,California
115,6037,Los Angeles,CA,California
116,6039,Madera,CA,California
117,6041,Marin,CA,California
118,6043,Mariposa,CA,California
119,6045,Mendocino,CA,California
120,6047,Merced,CA,California
121,6049,Modoc,CA,California
122,6051,Mono,CA,California
123,6053,Monterey,CA,California
124,6055,Napa,CA,California
125,6057,Nevada,CA,California
126,6059,Orange,CA,California
127,6061,Placer,CA,California
128,6063,Plumas,CA,California
129,6065,Riverside,CA,California
130,6067,Sacramento,CA,California
131,6069,San Benito,CA,California
132,6071,San Bernardino,CA,California
133,6073,San Diego,CA,California
134,6075,San Francisco,CA,California
135,6077,San Joaquin,CA,California
136,6079,San Luis Obispo,CA,California
137,6081,San Mateo,CA,California
138,6083,Santa Barbara,CA,California
139,6085,Santa Clara,CA,California
140,6087,Santa Cruz,CA,California
141,6089,Shasta,CA,California
142,6091,Sierra,CA,California
143,6093,Siskiyou,CA,California
144,6095,Solano,CA,California
145,6097,Sonoma,CA,California
146,6099,Stanislaus,CA,California
147,6101,Sutter,CA,California
148,6103,Tehama,CA,California
149,6105,Trinity,CA,California
150,6107,Tulare,CA,California
151,6109,Tuolumne,CA,California
152,6111,Ventura,CA,California
153,6113,Yolo,CA,California
154,6115,Yuba,CA,California
,,State Totals,CT,Connecticut
155,9001,Fairfield,CT,Connecticut
156,9003,Hartford,CT,Connecticut
157,9005,Litchfield,CT,Connecticut
158,9007,Middlesex,CT,Connecticut
159,9009,New Haven,CT,Connecticut
160,9011,New London,CT,Connecticut
161,9013,Tolland,CT,Connecticut
162,9015,Windham,CT,Connecticut
,,State Totals,DE,Delaware
163,10001,Kent,DE,Delaware
164,10003,New Castle,DE,Delaware
165,10005,Sussex,DE,Delaware
166,12001,Alachua,FL,Florida
167,12003,Baker,FL,Florida
168,12005,Bay,FL,Florida
169,12007,Bradford,FL,Florida
170,12009,Brevard,FL,Florida
171,12011,Broward,FL,Florida
172,12013,Calhoun,FL,Florida
173,12015,Charlotte,FL,Florida
174,12017,Citrus,FL,Florida
175,12019,Clay,FL,Florida
176,12021,Collier,FL,Florida
177,12023,Columbia,FL,Florida
178,12027,DeSoto,FL,Florida
179,12029,Dixie,FL,Florida
180,12031,Duval,FL,Florida
181,12033,Escambia,FL,Florida
182,12035,Flagler,FL,Florida
183,12037,Franklin,FL,Florida
184,12039,Gadsden,FL,Florida
185,12041,Gilchrist,FL,Florida
186,12043,Glades,FL,Florida
187,12045,Gulf,FL,Florida
188,12047,Hamilton,FL,Florida
189,12049,Hardee,FL,Florida
190,12051,Hendry,FL,Florida
191,12053,Hernando,FL,Florida
192,12055,Highlands,FL,Florida
193,12057,Hillsborough,FL,Florida
194,12059,Holmes,FL,Florida
195,12061,Indian River,FL,Florida
196,12063,Jackson,FL,Florida
197,12065,Jefferson,FL,Florida
198,12067,Lafayette,FL,Florida
199,12069,Lake,FL,Florida
200,12071,Lee,FL,Florida
201,12073,Leon,FL,Florida
202,12075,Levy,FL,Florida
203,12077,Liberty,FL,Florida
204,12079,Madison,FL,Florida
205,12081,Manatee,FL,Florida
206,12083,Marion,FL,Florida
207,12085,Martin,FL,Florida
208,12086,Miami-Dade,FL,Florida
209,12087,Monroe,FL,Florida
210,12089,Nassau,FL,Florida
211,12091,Okaloosa,FL,Florida
212,12093,Okeechobee,FL,Florida
213,12095,Orange,FL,Florida
214,12097,Osceola,FL,Florida
215,12099,Palm Beach,FL,Florida
216,12101,Pasco,FL,Florida
217,12103,Pinellas,FL,Florida
218,12105,Polk,FL,Florida
219,12107,Putnam,FL,Florida
220,12109,St. Johns,FL,Florida
221,12111,St. Lucie,FL,Florida
222,12113,Santa Rosa,FL,Florida
223,12115,Sarasota,FL,Florida
224,12117,Seminole,FL,Florida
225,12119,Sumter,FL,Florida
226,12121,Suwannee,FL,Florida
227,12123,Taylor,FL,Florida
228,12125,Union,FL,Florida
229,12127,Volusia,FL,Florida
230,12129,Wakulla,FL,Florida
231,12131,Walton,FL,Florida
232,12133,Washington,FL,Florida
,,State Totals,FL,Florida
,,State Totals,GA,Georgia
233,13001,Appling,GA,Georgia
234,13003,Atkinson,GA,Georgia
235,13005,Bacon,GA,Georgia
236,13007,Baker,GA,Georgia
237,13009,Baldwin,GA,Georgia
238,13011,Banks,GA,Georgia
239,13013,Barrow,GA,Georgia
240,13015,Bartow,GA,Georgia
241,13017,Ben Hill,GA,Georgia
242,13019,Berrien,GA,Georgia
243,13021,Bibb,GA,Georgia
244,13023,Bleckley,GA,Georgia
245,13025,Brantley,GA,Georgia
246,13027,Brooks,GA,Georgia
247,13029,Bryan,GA,Georgia
248,13031,Bulloch,GA,Georgia
249,13033,Burke,GA,Georgia
250,13035,Butts,GA,Georgia
251,13037,Calhoun,GA,Georgia
252,13039,Camden,GA,Georgia
253,13043,Candler,GA,Georgia
254,13045,Carroll,GA,Georgia
255,13047,Catoosa,GA,Georgia
256,13049,Charlton,GA,Georgia
257,13051,Chatham,GA,Georgia
258,13053,Chattahoochee,GA,Georgia
259,13055,Chattooga,GA,Georgia
260,13057,Cherokee,GA,Georgia
261,13059,Clarke,GA,Georgia
262,13061,Clay,GA,Georgia
263,13063,Clayton,GA,Georgia
264,13065,Clinch,GA,Georgia
265,13067,Cobb,GA,Georgia
266,13069,Coffee,GA,Georgia
267,13071,Colquitt,GA,Georgia
268,13073,Columbia,GA,Georgia
269,13075,Cook,GA,Georgia
270,13077,Coweta,GA,Georgia
271,13079,Crawford,GA,Georgia
272,13081,Crisp,GA,Georgia
273,13083,Dade,GA,Georgia
274,13085,Dawson,GA,Georgia
275,13087,Decatur,GA,Georgia
276,13089,DeKalb,GA,Georgia
277,13091,Dodge,GA,Georgia
278,13093,Dooly,GA,Georgia
279,13095,Dougherty,GA,Georgia
280,13097,Douglas,GA,Georgia
281,13099,Early,GA,Georgia
282,13101,Echols,GA,Georgia
283,13103,Effingham,GA,Georgia
284,13105,Elbert,GA,Georgia
285,13107,Emanuel,GA,Georgia
286,13109,Evans,GA,Georgia
287,13111,Fannin,GA,Georgia
288,13113,Fayette,GA,Georgia
289,13115,Floyd,GA,Georgia
290,13117,Forsyth,GA,Georgia
291,13119,Franklin,GA,Georgia
292,13121,Fulton,GA,Georgia
293,13123,Gilmer,GA,Georgia
294,13125,Glascock,GA,Georgia
295,13127,Glynn,GA,Georgia
296,13129,Gordon,GA,Georgia
297,13131,Grady,GA,Georgia
298,13133,Greene,GA,Georgia
299,13135,Gwinnett,GA,Georgia
300,13137,Habersham,GA,Georgia
301,13139,Hall,GA,Georgia
302,13141,Hancock,GA,Georgia
303,13143,Haralson,GA,Georgia
304,13145,Harris,GA,Georgia
305,13147,Hart,GA,Georgia
306,13149,Heard,GA,Georgia
307,13151,Henry,GA,Georgia
308,13153,Houston,GA,Georgia
309,13155,Irwin,GA,Georgia
310,13157,Jackson,GA,Georgia
311,13159,Jasper,GA,Georgia
312,13161,Jeff Davis,GA,Georgia
313,13163,Jefferson,GA,Georgia
314,13165,Jenkins,GA,Georgia
315,13167,Johnson,GA,Georgia
316,13169,Jones,GA,Georgia
317,13171,Lamar,GA,Georgia
318,13173,Lanier,GA,Georgia
319,13175,Laurens,GA,Georgia
320,13177,Lee,GA,Georgia
321,13179,Liberty,GA,Georgia
322,13181,Lincoln,GA,Georgia
323,13183,Long,GA,Georgia
324,13185,Lowndes,GA,Georgia
325,13187,Lumpkin,GA,Georgia
326,13189,McDuffie,GA,Georgia
327,13191,McIntosh,GA,Georgia
328,13193,Macon,GA,Georgia
329,13195,Madison,GA,Georgia
330,13197,Marion,GA,Georgia
331,13199,Meriwether,GA,Georgia
332,13201,Miller,GA,Georgia
333,13205,Mitchell,GA,Georgia
334,13207,Monroe,GA,Georgia
335,13209,Montgomery,GA,Georgia
336,13211,Morgan,GA,Georgia
337,13213,Murray,GA,Georgia
338,13215,Muscogee,GA,Georgia
339,13217,Newton,GA,Georgia
340,13219,Oconee,GA,Georgia
341,13221,Oglethorpe,GA,Georgia
342,13223,Paulding,GA,Georgia
343,13225,Peach,GA,Georgia
344,13227,Pickens,GA,Georgia
345,13229,Pierce,GA,Georgia
346,13231,Pike,GA,Georgia
347,13233,Polk,GA,Georgia
348,13235,Pulaski,GA,Georgia
349,13237,Putnam,GA,Georgia
350,13239,Quitman,GA,Georgia
351,13241,Rabun,GA,Georgia
352,13243,Randolph,GA,Georgia
353,13245,Richmond,GA,Georgia
354,13247,Rockdale,GA,Georgia
355,13249,Schley,GA,Georgia
356,13251,Screven,GA,Georgia
357,13253,Seminole,GA,Georgia
358,13255,Spalding,GA,Georgia
359,13257,Stephens,GA,Georgia
360,13259,Stewart,GA,Georgia
361,13261,Sumter,GA,Georgia
362,13263,Talbot,GA,Georgia
363,13265,Taliaferro,GA,Georgia
364,13267,Tattnall,GA,Georgia
365,13269,Taylor,GA,Georgia
366,13271,Telfair,GA,Georgia
367,13273,Terrell,GA,Georgia
368,13275,Thomas,GA,Georgia
369,13277,Tift,GA,Georgia
370,13279,Toombs,GA,Georgia
371,13281,Towns,GA,Georgia
372,13283,Treutlen,GA,Georgia
