year,activity,industry,chainPriceIdx,chainPricePctChange,chainQtyIdx,chainQtyPctChange,nomValueAdded,realValAdded,valAddedPctMESA,valAddedPctGDP
2014,Total Marine Economy,,100,,100,,369773,100,100,2.1
2014,"Living resources, marine",,100,,100,,354320,3.4,3.2,0.1
2014,"Commercial harvest, seafood markets, and processing",,100,,100,,349510,3.1,3,0.1
2014,Commercial harvest and seafood markets,,100,,100,,358624,2,1.9,0
2014,Seafood processing,,100,,100,,377771,1.1,1.1,0
2014,Fish-based animal foods,,100,,100,,396540,0,0,0
2014,"Pharmaceuticals, marine-based",,100,,100,,11857,0.3,0.2,0
2014,"Construction, coastal and marine",,100,,100,,12316,1.1,0.8,0
2014,Conservation,,100,,100,,12699,0.7,0.5,0
2014,Dredging,,100,,100,,12633,0,0,0
2014,Recreation facilities,,100,,100,,13245,0.4,0.3,0
2014,"Research and education, marine",,100,,100,,13662,1.8,1.6,0
2014,Scientific research,,100,,100,,10992,1.2,1,0
2014,National defense R&D,,100,,100,,11418,0,0,0
2014,Federal nondefense R&D,,100,,100,,11725,0.3,0.3,0
2014,State and local R&D,,100,,100,,11603,0.4,0.4,0
2014,Nonacademic R&D,,100,,100,,12051,0.4,0.3,0
2014,Educational programs and courses,,100,,100,,12387,0.6,0.6,0
2014,Vocational training,,100,,100,,6951,0,0,0
2014,Laboratories,,100,,100,,6871,0,0,0
2014,"Transportation and warehousing, marine",,100,,100,,7312,6.6,6.3,0.1
2014,Freight transportation,,100,,100,,7308,4.2,4.1,0.1
2014,Passenger transportation,,100,,100,,7706,1.8,1.8,0
2014,Warehousing and storage,,100,,100,,7951,0.6,0.4,0
2014,"Professional and technical services, marine",,100,,100,,4042,0.8,0.9,0
2014,"Minerals, offshore",,100,,100,,4547,14.5,21.7,0.5
2014,Oil and gas,,100,,100,,4413,14,21.3,0.4
2014,Sand and gravel,,100,,100,,4295,0.4,0.4,0
2014,Support services,,100,,100,,4345,0.1,0.1,0
2014,"Utilities, coastal",,100,,100,,4436,2,2.1,0
2014,Traditional power generation,,100,,100,,59,2,2.1,0
2014,"Ship and boat building, nonrecreational",,100,,100,,61,3.1,1.7,0
2014,Ship building1,,100,,100,,63,2.8,1.4,0
2014,Barges and other nonpropelled ships,,100,,100,,66,0,0,0
2014,Military ships,,100,,100,,67,2.7,1.3,0
2014,Other ships,,100,,100,,70,0.1,0.1,0
2014,Boat building2,,100,,100,,806,0.3,0.3,0
2014,Fishing boats,,100,,100,,837,0,0,0
2014,Tugboats and towboats,,100,,100,,911,0,0.1,0
2014,Outboard motorboats,,100,,100,,964,0,0,0
2014,Inboard motorboats,,100,,100,,1127,0.1,0.1,0
2014,Other boats,,100,,100,,1205,0.1,0.2,0
2014,"Tourism and recreation, coastal and offshore",,100,,100,,3134,37.7,32.7,0.7
2014,Guided tours,,100,,100,,3245,1.8,1.8,0
2014,Water guided tours,,100,,100,,3669,1,1.1,0
2014,Other scenic tours,,100,,100,,3432,0.8,0.7,0
2014,"Recreational fishing, offshore",,100,,100,,3631,1,0.6,0
2014,"Boating and paddling, offshore",,100,,100,,4276,5.7,5.5,0.1
2014,Sailing,,100,,100,,1844,0.3,0.2,0
2014,Motorboating,,100,,100,,1944,3.7,3.5,0.1
2014,Canoeing,,100,,100,,2393,0,0,0
2014,Kayaking,,100,,100,,2258,0,0,0
2014,Other boating and paddling3,,100,,100,,2352,1.7,1.7,0
2014,Other water activities4,,100,,100,,2686,0.2,0.2,0
2014,Other coastal recreation,,100,,100,,105,4.1,3.9,0.1
2014,Maritime museums and cultural institutions,,100,,100,,99,0.2,0.2,0
2014,Beachgoing,,100,,100,,102,0,0,0
2014,Amusement parks,,100,,100,,98,0.5,0.3,0
2014,Hiking and camping,,100,,100,,114,0.2,0.1,0
2014,RVing,,100,,100,,146,1.3,1.2,0
2014,Photography,,100,,100,,1185,0.1,0.1,0
2014,Other general expenses,,100,,100,,1203,1.9,1.9,0
2014,"Trips and travel, coastal",,100,,100,,1174,24.9,20.8,0.4
2014,Eating and drinking places,,100,,100,,1077,3.3,2.7,0.1
2014,Hotel and lodging places,,100,,100,,1166,17.6,14.5,0.3
2014,Travel arrangement services,,100,,100,,1445,0.4,0.3,0
2014,Transportation services,,100,,100,,6079,3.6,3.3,0.1
2014,National defense and public administration,,100,,100,,6508,29.1,28.9,0.6
2014,National defense and coast guard,,100,,100,,6618,27.1,27.2,0.6
2014,Federal public administration,,100,,100,,6716,1.8,1.6,0
2014,State and local public administration,,100,,100,,6752,0.1,0.1,0
2015,Total Marine Economy,,94.926,0.9,100.942,0.9,7267,,100,1.9
2015,"Living resources, marine",,98.423,5.5,105.539,5.5,3666,,3.5,0.1
2015,"Commercial harvest, seafood markets, and processing",,98.028,6,105.962,6,3908,,3.2,0.1
2015,Commercial harvest and seafood markets,,94.388,4.7,104.735,4.7,4041,,1.9,0
2015,Seafood processing,,104.202,8,107.963,8,4120,,1.3,0
2015,Fish-based animal foods,,76.02,35.9,135.912,35.9,4396,,0,0
2015,"Pharmaceuticals, marine-based",,105.91,-1.9,98.138,-1.9,4832,,0.2,0
2015,"Construction, coastal and marine",,103.977,-0.4,99.605,-0.4,110,,0.9,0
2015,Conservation,,104.723,0.7,100.672,0.7,113,,0.5,0
2015,Dredging,,104.94,-10.2,89.788,-10.2,106,,0,0
2015,Recreation facilities,,102.727,-1.2,98.807,-1.2,106,,0.3,0
2015,"Research and education, marine",,101.121,5.9,105.862,5.9,108,,1.8,0
2015,Scientific research,,99.393,7.2,107.231,7.2,117,,1.1,0
2015,National defense R&D,,98.71,3.9,103.922,3.9,1073,,0,0
2015,Federal nondefense R&D,,99.76,10.9,110.889,10.9,1187,,0.3,0
2015,State and local R&D,,96.522,10.7,110.694,10.7,1263,,0.4,0
2015,Nonacademic R&D,,102.736,0.1,100.056,0.1,1263,,0.3,0
2015,Educational programs and courses,,103.835,3.6,103.633,3.6,1310,,0.7,0
2015,Vocational training,,103.515,4.1,104.072,4.1,1382,,0,0
2015,Laboratories,,102.55,12.7,112.66,12.7,1360,,0,0
2015,"Transportation and warehousing, marine",,111.058,-7.6,92.377,-7.6,1453,,6.7,0.1
2015,Freight transportation,,108.798,-5.9,94.066,-5.9,1457,,4.4,0.1
2015,Passenger transportation,,118.63,-13.5,86.537,-13.5,1510,,1.9,0
2015,Warehousing and storage,,102.136,2.8,102.822,2.8,1583,,0.4,0
2015,"Professional and technical services, marine",,101.823,8.8,108.791,8.8,1664,,1,0
2015,"Minerals, offshore",,67.071,-0.6,99.396,-0.6,1124,,15.1,0.3
2015,Oil and gas,,66.535,-0.5,99.459,-0.5,1156,,14.7,0.3
2015,Sand and gravel,,89.995,-2.7,97.336,-2.7,1215,,0.3,0
2015,Support services,,104.532,-6.9,93.067,-6.9,1241,,0.1,0
2015,"Utilities, coastal",,93.241,15.6,115.594,15.6,1395,,2.3,0
2015,Traditional power generation,,93.241,15.6,115.594,15.6,1669,,2.3,0
2015,"Ship and boat building, nonrecreational",,101.416,22.6,122.592,22.6,2227,,2.2,0
2015,Ship building1,,100.88,24.5,124.49,24.5,2396,,1.8,0
2015,Barges and other nonpropelled ships,,100.223,-22.6,77.437,-22.6,2357,,0,0
2015,Military ships,,100.582,27.2,127.227,27.2,2372,,1.7,0
2015,Other ships,,106.112,1.1,101.082,1.1,2137,,0.1,0
2015,Boat building2,,103.737,14.7,114.746,14.7,2223,,0.4,0
2015,Fishing boats,,106.093,1.3,101.313,1.3,142,,0,0
2015,Tugboats and towboats,,106.093,1.3,101.313,1.3,153,,0.1,0
2015,Outboard motorboats,,101.876,48.5,148.482,48.5,166,,0,0
2015,Inboard motorboats,,101.145,36.7,136.73,36.7,166,,0.1,0
2015,Other boats,,104.428,5.9,105.866,5.9,166,,0.2,0
2015,"Tourism and recreation, coastal and offshore",,103.173,2.3,102.286,2.3,159,,36.1,0.7
2015,Guided tours,,105.484,-8.8,91.224,-8.8,44,,1.8,0
2015,Water guided tours,,105.322,-11.7,88.283,-11.7,51,,1.1,0
2015,Other scenic tours,,105.732,-4.1,95.928,-4.1,55,,0.7,0
2015,"Recreational fishing, offshore",,100.799,11.5,111.511,11.5,58,,0.7,0
2015,"Boating and paddling, offshore",,102.884,-1.5,98.476,-1.5,52,,5.8,0.1
2015,Sailing,,104.269,2.1,102.078,2.1,53,,0.3,0
2015,Motorboating,,103.119,-0.7,99.264,-0.7,23178,,3.7,0.1
2015,Canoeing,,103.019,10.6,110.565,10.6,23778,,0,0
2015,Kayaking,,102.099,11.3,111.276,11.3,22436,,0,0
2015,Other boating and paddling3,,102.207,-3.9,96.11,-3.9,23022,,1.8,0
2015,Other water activities4,,102.148,12.8,112.804,12.8,24710,,0.2,0
2015,Other coastal recreation,,101.562,1.4,101.397,1.4,26023,,4.2,0.1
2015,Maritime museums and cultural institutions,,104.378,-18.3,81.655,-18.3,15196,,0.2,0
2015,Beachgoing,,100.253,-2.4,97.634,-2.4,15552,,0,0
2015,Amusement parks,,106.538,2.2,102.2,2.2,14624,,0.4,0
2015,Hiking and camping,,106.556,-3.4,96.616,-3.4,14843,,0.2,0
2015,RVing,,102.995,-1.2,98.825,-1.2,15735,,1.3,0
2015,Photography,,95.717,46.3,146.317,46.3,16479,,0.1,0
2015,Other general expenses,,99.539,3.9,103.861,3.9,6602,,2.1,0
2015,"Trips and travel, coastal",,103.441,4.1,104.057,4.1,6778,,23.4,0.5
2015,Eating and drinking places,,105.336,3.6,103.626,3.6,6249,,3,0.1
2015,Hotel and lodging places,,103.422,4.4,104.413,4.4,6372,,16.4,0.3
2015,Travel arrangement services,,99.734,8.4,108.365,8.4,6876,,0.4,0
2015,Transportation services,,102.358,2.4,102.384,2.4,7296,,3.6,0.1
2015,National defense and public administration,,101.817,-1.3,98.719,-1.3,1380,,30.3,0.6
2015,National defense and coast guard,,101.949,-1.2,98.789,-1.2,1449,,28.6,0.6
2015,Federal public administration,,99.191,-2.1,97.869,-2.1,1564,,1.7,0
2015,State and local public administration,,108.673,-6.4,93.614,-6.4,1807,,0.1,0
2016,Total Marine Economy,,94.657,-1.1,99.855,-1.1,2099,,100,1.9
2016,"Living resources, marine",,102.225,-0.7,104.772,-0.7,2249,,3.6,0.1
2016,"Commercial harvest, seafood markets, and processing",,102.133,-1.4,104.439,-1.4,3186,,3.4,0.1
2016,Commercial harvest and seafood markets,,97.637,2.9,107.751,2.9,3530,,2.1,0
2016,Seafood processing,,109.815,-7.9,99.423,-7.9,3635,,1.3,0
2016,Fish-based animal foods,,75.375,4.3,141.706,4.3,3352,,0,0
2016,"Pharmaceuticals, marine-based",,105.957,8.8,106.725,8.8,3453,,0.3,0
2016,"Construction, coastal and marine",,105.01,11.9,111.494,11.9,3119,,1,0
2016,Conservation,,104.688,23.2,124.009,23.2,80367,,0.7,0
2016,Dredging,,105.075,2.8,92.328,2.8,53578,,0,0
2016,Recreation facilities,,105.783,-5.3,93.618,-5.3,44355,,0.3,0
2016,"Research and education, marine",,101.654,1.2,107.096,1.2,46964,,1.9,0
2016,Scientific research,,98.992,3.8,111.331,3.8,54171,,1.2,0
2016,National defense R&D,,100.346,-7.7,95.937,-7.7,57398,,0,0
2016,Federal nondefense R&D,,103.19,2.9,114.123,2.9,78687,,0.4,0
2016,State and local R&D,,95.002,1.9,112.766,1.9,52071,,0.4,0
2016,Nonacademic R&D,,99.652,8.4,108.464,8.4,42886,,0.3,0
2016,Educational programs and courses,,105.818,-3.5,100.018,-3.5,45183,,0.7,0
2016,Vocational training,,106.616,5.7,109.961,5.7,52303,,0,0
2016,Laboratories,,104.367,4.9,118.211,4.9,55672,,0,0
2016,"Transportation and warehousing, marine",,117.49,-10.8,82.391,-10.8,1320,,6.4,0.1
2016,Freight transportation,,106.918,-4.3,90.006,-4.3,1157,,4.2,0.1
2016,Passenger transportation,,151.697,-27.9,62.391,-27.9,1151,,1.8,0
2016,Warehousing and storage,,102.629,7.4,110.468,7.4,1468,,0.4,0
2016,"Professional and technical services, marine",,101.978,2.8,111.879,2.8,1531,,1,0
2016,"Minerals, offshore",,60.559,-8.3,91.135,-8.3,1450,,12.7,0.2
2016,Oil and gas,,59.925,-8.6,90.95,-8.6,360,,12.3,0.2
2016,Sand and gravel,,86.726,3.2,100.491,3.2,350,,0.3,0
2016,Support services,,107.22,-11.3,82.558,-11.3,318,,0.1,0
2016,"Utilities, coastal",,82.466,9.2,126.205,9.2,312,,2.3,0
2016,Traditional power generation,,82.466,9.2,126.205,9.2,337,,2.3,0
2016,"Ship and boat building, nonrecreational",,101.111,35.9,166.565,35.9,276,,3.1,0.1
2016,Ship building1,,100.064,47.5,183.564,47.5,7588,,2.7,0.1
2016,Barges and other nonpropelled ships,,97.512,-10.4,69.388,-10.4,8178,,0,0
2016,Military ships,,99.729,51.8,193.138,51.8,7897,,2.6,0
2016,Other ships,,106.729,-15.1,85.817,-15.1,7739,,0.1,0
2016,Boat building2,,106.423,-14.7,97.9,-14.7,7825,,0.4,0
2016,Fishing boats,,106.711,-15.2,85.92,-15.2,7984,,0,0
2016,Tugboats and towboats,,106.711,-15.2,85.92,-15.2,7588,,0.1,0
2016,Outboard motorboats,,104.541,-13.4,128.558,-13.4,8178,,0,0
2016,Inboard motorboats,,106.559,-15,116.192,-15,7897,,0.1,0
2016,Other boats,,106.425,-14.5,90.524,-14.5,7739,,0.2,0
2016,"Tourism and recreation, coastal and offshore",,104.827,-0.7,101.573,-0.7,7825,,36.9,0.7
2016,Guided tours,,109.524,-13.5,78.886,-13.5,7984,,1.6,0
2016,Water guided tours,,109.395,-18.6,71.872,-18.6,6403,,0.9,0
2016,Other scenic tours,,109.718,-6.1,90.095,-6.1,7961,,0.7,0
2016,"Recreational fishing, offshore",,100.607,39.1,155.14,39.1,10783,,1,0
2016,"Boating and paddling, offshore",,101.353,-5.6,92.924,-5.6,9892,,5.4,0.1
2016,Sailing,,106.841,3.3,105.406,3.3,10038,,0.3,0
2016,Motorboating,,102.603,-4.5,94.844,-4.5,12242,,3.6,0.1
2016,Canoeing,,105.115,2.8,113.665,2.8,5173,,0,0
2016,Kayaking,,104.363,-0.3,110.897,-0.3,6497,,0,0
2016,Other boating and paddling3,,97.737,-9.8,86.703,-9.8,9502,,1.5,0
2016,Other water activities4,,103.721,1.6,114.652,1.6,8644,,0.2,0
2016,Other coastal recreation,,101.403,-1.2,100.133,-1.2,8752,,4.2,0.1
2016,Maritime museums and cultural institutions,,106.878,8.4,88.545,8.4,11082,,0.2,0
