Date,Region,Jurisdiction,Source,Production,Prod_MBbl
1900,US Total,All,All,63621,63.621
1901,US Total,All,All,69389,69.389
1902,US Total,All,All,88767,88.767
1903,US Total,All,All,100461,100.461
1904,US Total,All,All,117081,117.081
1905,US Total,All,All,134717,134.717
1906,US Total,All,All,126494,126.494
1907,US Total,All,All,166095,166.095
1908,US Total,All,All,178527,178.527
1909,US Total,All,All,183171,183.171
1910,US Total,All,All,209557,209.557
1911,US Total,All,All,220449,220.449
1912,US Total,All,All,222935,222.935
1913,US Total,All,All,248446,248.446
1914,US Total,All,All,265763,265.763
1915,US Total,All,All,281104,281.104
1916,US Total,All,All,300767,300.767
1917,US Total,All,All,335316,335.316
1918,US Total,All,All,355928,355.928
1919,US Total,All,All,378367,378.367
1920,US Total,All,All,442929,442.929
1921,US Total,All,All,472183,472.183
1922,US Total,All,All,557531,557.531
1923,US Total,All,All,732407,732.407
1924,US Total,All,All,713940,713.94
1925,US Total,All,All,620373,620.373
1926,US Total,All,All,770874,770.874
1927,US Total,All,All,901129,901.129
1928,US Total,All,All,901474,901.474
1929,US Total,All,All,1007323,1007.323
1930,US Total,All,All,898011,898.011
1931,US Total,All,All,851081,851.081
1932,US Total,All,All,785159,785.159
1933,US Total,All,All,905656,905.656
1934,US Total,All,All,908065,908.065
1935,US Total,All,All,993942,993.942
1936,US Total,All,All,1098513,1098.513
1937,US Total,All,All,1277653,1277.653
1938,US Total,All,All,1213254,1213.254
1939,US Total,All,All,1264256,1264.256
1940,US Total,All,All,1503176,1503.176
1941,US Total,All,All,1404182,1404.182
1942,US Total,All,All,1385479,1385.479
1943,US Total,All,All,1505613,1505.613
1944,US Total,All,All,1677904,1677.904
1945,US Total,All,All,1713655,1713.655
1946,US Total,All,All,1733424,1733.424
1947,US Total,All,All,1856987,1856.987
1948,US Total,All,All,2020185,2020.185
1949,US Total,All,All,1841940,1841.94
1950,US Total,All,All,1973574,1973.574
1951,US Total,All,All,2247711,2247.711
1952,US Total,All,All,2289836,2289.836
1953,US Total,All,All,2357082,2357.082
1954,US Total,All,All,2314988,2314.988
1955,US Total,All,All,2484428,2484.428
1956,US Total,All,All,2617283,2617.283
1957,US Total,All,All,2616901,2616.901
1958,US Total,All,All,2448987,2448.987
1959,US Total,All,All,2574590,2574.59
1960,US Total,All,All,2574933,2574.933
1961,US Total,All,All,2621758,2621.758
1962,US Total,All,All,2676189,2676.189
1963,US Total,All,All,2752723,2752.723
1964,US Total,All,All,2786822,2786.822
1965,US Total,All,All,2848514,2848.514
1966,US Total,All,All,3027763,3027.763
1967,US Total,All,All,3215742,3215.742
1968,US Total,All,All,3329042,3329.042
1969,US Total,All,All,3371751,3371.751
1970,US Total,All,All,3517450,3517.45
1971,US Total,All,All,3453914,3453.914
1972,US Total,All,All,3455368,3455.368
1973,US Total,All,All,3360903,3360.903
1974,US Total,All,All,3202585,3202.585
1975,US Total,All,All,3056779,3056.779
1976,US Total,All,All,2976180,2976.18
1977,US Total,All,All,3009265,3009.265
1978,US Total,All,All,3178216,3178.216
1979,US Total,All,All,3121310,3121.31
1980,US Total,All,All,3146365,3146.365
1981,US Total,All,All,3128624,3128.624
1982,US Total,All,All,3156715,3156.715
1983,US Total,All,All,3170999,3170.999
1984,US Total,All,All,3249696,3249.696
1985,US Total,All,All,3274553,3274.553
1986,US Total,All,All,3168252,3168.252
1987,US Total,All,All,3047378,3047.378
1988,US Total,All,All,2979123,2979.123
1989,US Total,All,All,2778773,2778.773
1990,US Total,All,All,2684687,2684.687
1991,US Total,All,All,2707039,2707.039
1992,US Total,All,All,2624632,2624.632
1993,US Total,All,All,2499033,2499.033
1994,US Total,All,All,2431476,2431.476
1995,US Total,All,All,2394268,2394.268
1996,US Total,All,All,2366017,2366.017
1997,US Total,All,All,2354831,2354.831
1998,US Total,All,All,2281919,2281.919
1999,US Total,All,All,2146732,2146.732
2000,US Total,All,All,2130707,2130.707
2001,US Total,All,All,2117511,2117.511
2002,US Total,All,All,2096588,2096.588
2003,US Total,All,All,2061995,2061.995
2004,US Total,All,All,1991394,1991.394
2005,US Total,All,All,1892095,1892.095
2006,US Total,All,All,1856340,1856.34
2007,US Total,All,All,1851974,1851.974
2008,US Total,All,All,1829880,1829.88
2009,US Total,All,All,1955194,1955.194
2010,US Total,All,All,2001805,2001.805
2011,US Total,All,All,2071085,2071.085
2012,US Total,All,All,2387461,2387.461
2013,US Total,All,All,2736608,2736.608
2014,US Total,All,All,3209106,3209.106
2015,US Total,All,All,3445992,3445.992
2016,US Total,All,All,3237056,3237.056
2017,US Total,All,All,3415257,3415.257
2018,US Total,All,All,3993288,3993.288
2019,US Total,All,All,4485653,4485.653
2020,US Total,All,All,4129563,4129.563
2021,US Total,All,All,4082970,4082.97
1981,Gulf of Mexico,Federal,Offshore,262518,262.518
1982,Gulf of Mexico,Federal,Offshore,286725,286.725
1983,Gulf of Mexico,Federal,Offshore,319717,319.717
1984,Gulf of Mexico,Federal,Offshore,349857,349.857
1985,Gulf of Mexico,Federal,Offshore,343443,343.443
1986,Gulf of Mexico,Federal,Offshore,350328,350.328
1987,Gulf of Mexico,Federal,Offshore,325517,325.517
1988,Gulf of Mexico,Federal,Offshore,299460,299.46
1989,Gulf of Mexico,Federal,Offshore,278927,278.927
1990,Gulf of Mexico,Federal,Offshore,269804,269.804
1991,Gulf of Mexico,Federal,Offshore,291755,291.755
1992,Gulf of Mexico,Federal,Offshore,300909,300.909
1993,Gulf of Mexico,Federal,Offshore,301118,301.118
1994,Gulf of Mexico,Federal,Offshore,313822,313.822
1995,Gulf of Mexico,Federal,Offshore,344318,344.318
1996,Gulf of Mexico,Federal,Offshore,373644,373.644
1997,Gulf of Mexico,Federal,Offshore,412168,412.168
1998,Gulf of Mexico,Federal,Offshore,448388,448.388
1999,Gulf of Mexico,Federal,Offshore,494064,494.064
2000,Gulf of Mexico,Federal,Offshore,523250,523.25
2001,Gulf of Mexico,Federal,Offshore,560485,560.485
2002,Gulf of Mexico,Federal,Offshore,567420,567.42
2003,Gulf of Mexico,Federal,Offshore,561065,561.065
2004,Gulf of Mexico,Federal,Offshore,535355,535.355
2005,Gulf of Mexico,Federal,Offshore,466926,466.926
2006,Gulf of Mexico,Federal,Offshore,472078,472.078
2007,Gulf of Mexico,Federal,Offshore,467971,467.971
2008,Gulf of Mexico,Federal,Offshore,423301,423.301
2009,Gulf of Mexico,Federal,Offshore,570309,570.309
2010,Gulf of Mexico,Federal,Offshore,566628,566.628
2011,Gulf of Mexico,Federal,Offshore,480692,480.692
2012,Gulf of Mexico,Federal,Offshore,463272,463.272
2013,Gulf of Mexico,Federal,Offshore,458027,458.027
2014,Gulf of Mexico,Federal,Offshore,509940,509.94
2015,Gulf of Mexico,Federal,Offshore,552928,552.928
2016,Gulf of Mexico,Federal,Offshore,585578,585.578
2017,Gulf of Mexico,Federal,Offshore,613602,613.602
2018,Gulf of Mexico,Federal,Offshore,641970,641.97
2019,Gulf of Mexico,Federal,Offshore,692591,692.591
2020,Gulf of Mexico,Federal,Offshore,601742,601.742
2021,Gulf of Mexico,Federal,Offshore,620883,620.883
1981,West Coast,Federal,Offshore,19588,19.588
1982,West Coast,Federal,Offshore,28396,28.396
1983,West Coast,Federal,Offshore,30527,30.527
1984,West Coast,Federal,Offshore,30399,30.399
1985,West Coast,Federal,Offshore,29875,29.875
1986,West Coast,Federal,Offshore,28606,28.606
1987,West Coast,Federal,Offshore,31090,31.09
1988,West Coast,Federal,Offshore,31284,31.284
1989,West Coast,Federal,Offshore,33076,33.076
1990,West Coast,Federal,Offshore,30031,30.031
1991,West Coast,Federal,Offshore,31519,31.519
1992,West Coast,Federal,Offshore,42552,42.552
1993,West Coast,Federal,Offshore,50639,50.639
1994,West Coast,Federal,Offshore,57509,57.509
1995,West Coast,Federal,Offshore,71709,71.709
1996,West Coast,Federal,Offshore,64419,64.419
1997,West Coast,Federal,Offshore,54135,54.135
1998,West Coast,Federal,Offshore,46233,46.233
1999,West Coast,Federal,Offshore,39702,39.702
2000,West Coast,Federal,Offshore,34992,34.992
2001,West Coast,Federal,Offshore,31103,31.103
2002,West Coast,Federal,Offshore,32064,32.064
2003,West Coast,Federal,Offshore,29738,29.738
2004,West Coast,Federal,Offshore,27509,27.509
2005,West Coast,Federal,Offshore,26507,26.507
2006,West Coast,Federal,Offshore,25987,25.987
2007,West Coast,Federal,Offshore,24624,24.624
2008,West Coast,Federal,Offshore,24029,24.029
2009,West Coast,Federal,Offshore,22306,22.306
2010,West Coast,Federal,Offshore,21707,21.707
2011,West Coast,Federal,Offshore,19820,19.82
2012,West Coast,Federal,Offshore,17678,17.678
2013,West Coast,Federal,Offshore,18566,18.566
2014,West Coast,Federal,Offshore,18509,18.509
2015,West Coast,Federal,Offshore,11451,11.451
2016,West Coast,Federal,Offshore,6144,6.144
2017,West Coast,Federal,Offshore,5714,5.714
2018,West Coast,Federal,Offshore,4874,4.874
2019,West Coast,Federal,Offshore,4449,4.449
2020,West Coast,Federal,Offshore,4569,4.569
2021,West Coast,Federal,Offshore,4068,4.068
1981,US Total,Federal,Offshore,282106,282.106
1982,US Total,Federal,Offshore,315121,315.121
1983,US Total,Federal,Offshore,350244,350.244
1984,US Total,Federal,Offshore,380256,380.256
1985,US Total,Federal,Offshore,373318,373.318
1986,US Total,Federal,Offshore,378934,378.934
1987,US Total,Federal,Offshore,356607,356.607
1988,US Total,Federal,Offshore,330744,330.744
1989,US Total,Federal,Offshore,312003,312.003
1990,US Total,Federal,Offshore,299835,299.835
1991,US Total,Federal,Offshore,323274,323.274
1992,US Total,Federal,Offshore,343461,343.461
1993,US Total,Federal,Offshore,351757,351.757
1994,US Total,Federal,Offshore,371331,371.331
1995,US Total,Federal,Offshore,416027,416.027
1996,US Total,Federal,Offshore,438063,438.063
1997,US Total,Federal,Offshore,466303,466.303
1998,US Total,Federal,Offshore,494621,494.621
1999,US Total,Federal,Offshore,533766,533.766
2000,US Total,Federal,Offshore,558242,558.242
2001,US Total,Federal,Offshore,591588,591.588
2002,US Total,Federal,Offshore,599484,599.484
2003,US Total,Federal,Offshore,590803,590.803
2004,US Total,Federal,Offshore,562864,562.864
2005,US Total,Federal,Offshore,493433,493.433
2006,US Total,Federal,Offshore,498065,498.065
2007,US Total,Federal,Offshore,492595,492.595
2008,US Total,Federal,Offshore,447330,447.33
2009,US Total,Federal,Offshore,592615,592.615
2010,US Total,Federal,Offshore,588335,588.335
2011,US Total,Federal,Offshore,500512,500.512
2012,US Total,Federal,Offshore,480950,480.95
2013,US Total,Federal,Offshore,476593,476.593
2014,US Total,Federal,Offshore,528449,528.449
2015,US Total,Federal,Offshore,564379,564.379
2016,US Total,Federal,Offshore,591722,591.722
2017,US Total,Federal,Offshore,619316,619.316
2018,US Total,Federal,Offshore,646844,646.844
2019,US Total,Federal,Offshore,697040,697.04
2020,US Total,Federal,Offshore,606311,606.311
2021,US Total,Federal,Offshore,624951,624.951
,,,,,
1977,California,State,Offshore,15000,15
1978,California,State,Offshore,39000,39
1979,California,State,Offshore,38000,38
1980,California,State,Offshore,36000,36
1986,California,State,Offshore,32000,32
1987,California,State,Offshore,30000,30
1988,California,State,Offshore,30000,30
1989,California,State,Offshore,26000,26
1990,California,State,Offshore,23000,23
1991,California,State,Offshore,23000,23
1992,California,State,Offshore,22000,22
1993,California,State,Offshore,21000,21
1994,California,State,Offshore,21000,21
1995,California,State,Offshore,20000,20
1996,California,State,Offshore,20000,20
1997,California,State,Offshore,21000,21
1998,California,State,Offshore,21000,21
1999,California,State,Offshore,21000,21
2000,California,State,Offshore,19000,19
2001,California,State,Offshore,17000,17
2002,California,State,Offshore,17000,17
2003,California,State,Offshore,16000,16
2004,California,State,Offshore,15000,15
2005,California,State,Offshore,15000,15
2006,California,State,Offshore,15000,15
2007,California,State,Offshore,15000,15
2008,California,State,Offshore,14000,14
2009,California,State,Offshore,14000,14
2010,California,State,Offshore,13000,13
2011,California,State,Offshore,12000,12
2012,California,State,Offshore,13000,13
2013,California,State,Offshore,14000,14
2014,California,State,Offshore,14000,14
2015,California,State,Offshore,13000,13
2016,California,State,Offshore,21000,21
2017,California,State,Offshore,10000,10
2018,California,State,Offshore,10000,10
