"","Date","Production","Prod_MBbl","Region","Jurisdiction","Source"
"1",1977,26000,26,"US Total","All","Offshore"
"2",1978,53000,53,"US Total","All","Offshore"
"3",1979,48000,48,"US Total","All","Offshore"
"4",1980,45000,45,"US Total","All","Offshore"
"5",1981,312106,312.106,"US Total","All","Offshore"
"6",1982,343121,343.121,"US Total","All","Offshore"
"7",1983,377244,377.244,"US Total","All","Offshore"
"8",1984,410256,410.256,"US Total","All","Offshore"
"9",1985,402318,402.318,"US Total","All","Offshore"
"10",1986,442934,442.934,"US Total","All","Offshore"
"11",1987,418607,418.607,"US Total","All","Offshore"
"12",1988,393744,393.744,"US Total","All","Offshore"
"13",1989,368003,368.003,"US Total","All","Offshore"
"14",1990,353835,353.835,"US Total","All","Offshore"
"15",1991,379274,379.274,"US Total","All","Offshore"
"16",1992,397461,397.461,"US Total","All","Offshore"
"17",1993,409757,409.757,"US Total","All","Offshore"
"18",1994,428331,428.331,"US Total","All","Offshore"
"19",1995,472027,472.027,"US Total","All","Offshore"
"20",1996,492063,492.063,"US Total","All","Offshore"
"21",1997,520303,520.303,"US Total","All","Offshore"
"22",1998,539621,539.621,"US Total","All","Offshore"
"23",1999,577766,577.766,"US Total","All","Offshore"
"24",2000,602242,602.242,"US Total","All","Offshore"
"25",2001,628588,628.588,"US Total","All","Offshore"
"26",2002,635484,635.484,"US Total","All","Offshore"
"27",2003,627803,627.803,"US Total","All","Offshore"
"28",2004,595864,595.864,"US Total","All","Offshore"
"29",2005,522433,522.433,"US Total","All","Offshore"
"30",2006,524065,524.065,"US Total","All","Offshore"
"31",2007,520595,520.595,"US Total","All","Offshore"
"32",2008,473330,473.33,"US Total","All","Offshore"
"33",2009,618615,618.615,"US Total","All","Offshore"
"34",2010,614335,614.335,"US Total","All","Offshore"
"35",2011,526512,526.512,"US Total","All","Offshore"
"36",2012,510950,510.95,"US Total","All","Offshore"
"37",2013,507593,507.593,"US Total","All","Offshore"
"38",2014,559449,559.449,"US Total","All","Offshore"
"39",2015,594379,594.379,"US Total","All","Offshore"
"40",2016,627722,627.722,"US Total","All","Offshore"
"41",2017,642316,642.316,"US Total","All","Offshore"
"42",2018,668844,668.844,"US Total","All","Offshore"
"43",2019,717040,717.04,"US Total","All","Offshore"
"44",2020,624311,624.311,"US Total","All","Offshore"
"45",2021,624951,624.951,"US Total","All","Offshore"
"46",1981,262518,262.518,"Gulf of Mexico","Federal","Offshore"
"47",1982,286725,286.725,"Gulf of Mexico","Federal","Offshore"
"48",1983,319717,319.717,"Gulf of Mexico","Federal","Offshore"
"49",1984,349857,349.857,"Gulf of Mexico","Federal","Offshore"
"50",1985,343443,343.443,"Gulf of Mexico","Federal","Offshore"
"51",1986,350328,350.328,"Gulf of Mexico","Federal","Offshore"
"52",1987,325517,325.517,"Gulf of Mexico","Federal","Offshore"
"53",1988,299460,299.46,"Gulf of Mexico","Federal","Offshore"
"54",1989,278927,278.927,"Gulf of Mexico","Federal","Offshore"
"55",1990,269804,269.804,"Gulf of Mexico","Federal","Offshore"
"56",1991,291755,291.755,"Gulf of Mexico","Federal","Offshore"
"57",1992,300909,300.909,"Gulf of Mexico","Federal","Offshore"
"58",1993,301118,301.118,"Gulf of Mexico","Federal","Offshore"
"59",1994,313822,313.822,"Gulf of Mexico","Federal","Offshore"
"60",1995,344318,344.318,"Gulf of Mexico","Federal","Offshore"
"61",1996,373644,373.644,"Gulf of Mexico","Federal","Offshore"
"62",1997,412168,412.168,"Gulf of Mexico","Federal","Offshore"
"63",1998,448388,448.388,"Gulf of Mexico","Federal","Offshore"
"64",1999,494064,494.064,"Gulf of Mexico","Federal","Offshore"
"65",2000,523250,523.25,"Gulf of Mexico","Federal","Offshore"
