Geo_id,State,Region,Counties,Year,Population,Population Density,Housing,Housing Density,Land Area
0,United States (national),United States (national),All US states and territories,2019,328239523,92.8,139684244,39.5,3537438
0,United States (national),United States (national),All US states and territories,2018,326687501,92.4,138516439,39.2,3537438
0,United States (national),United States (national),All US states and territories,2017,324985539,91.9,137366902,38.8,3537438
0,United States (national),United States (national),All US states and territories,2016,322941311,91.3,136286436,38.5,3537438
0,United States (national),United States (national),All US states and territories,2015,320635163,90.6,135285123,38.2,3537438
0,United States (national),United States (national),All US states and territories,2014,318301008,90,134388318,38,3537438
0,United States (national),United States (national),All US states and territories,2013,315993715,89.3,133538615,37.8,3537438
0,United States (national),United States (national),All US states and territories,2012,313830990,88.7,132834047,37.6,3537438
0,United States (national),United States (national),All US states and territories,2011,311556874,88.1,132312816,37.4,3537438
0,United States (national),United States (national),All US states and territories,2010,309321666,87.4,131825383,37.3,3537438
0,United States (national),United States (national),All US states and territories,2009,307006550,86.8,129969653,36.7,3537438
0,United States (national),United States (national),All US states and territories,2008,304059724,86,129065264,36.5,3537438
0,United States (national),United States (national),All US states and territories,2007,301621157,85.3,127901934,36.2,3537438
0,United States (national),United States (national),All US states and territories,2006,299398484,84.6,126305754,35.7,3537438
0,United States (national),United States (national),All US states and territories,2005,296507061,83.8,124521886,35.2,3537438
0,United States (national),United States (national),All US states and territories,2004,293638158,83,122676668,34.7,3537438
0,United States (national),United States (national),All US states and territories,2003,290796023,82.2,120969394,34.2,3537438
0,United States (national),United States (national),All US states and territories,2002,288125973,81.5,119381715,33.7,3537438
0,United States (national),United States (national),All US states and territories,2001,285226284,80.6,117868605,33.3,3537438
0,United States (national),United States (national),All US states and territories,2000,281421906,79.6,115904641,32.8,3537438
0,United States (national),United States (national),All US states and territories,1999,279040168,78.9,,,3537438
0,United States (national),United States (national),All US states and territories,1998,275854104,78,112498582,31.8,3537438
0,United States (national),United States (national),All US states and territories,1997,272646925,77.1,111026822,31.4,3537438
0,United States (national),United States (national),All US states and territories,1996,269394284,76.2,109593027,31,3537438
0,United States (national),United States (national),All US states and territories,1995,266278393,75.3,108200867,30.6,3537438
0,United States (national),United States (national),All US states and territories,1994,263125821,74.4,106787537,30.2,3537438
0,United States (national),United States (national),All US states and territories,1993,259918588,73.5,105519071,29.8,3537438
0,United States (national),United States (national),All US states and territories,1992,256514224,72.5,104504551,29.5,3537438
0,United States (national),United States (national),All US states and territories,1991,252980941,71.5,103624707,29.3,3537438
0,United States (national),United States (national),All US states and territories,1990,249464396,70.5,102262196,28.9,3537438
0,United States (national),United States (national),All US states and territories,1980,227224681,64.2,82840219,23.4,3537438
0,United States (national),United States (national),All US states and territories,1970,205052174,58,64023489,18.1,3537438
99000,Coastal States,Coastal States,Coastal States,2019,266909826,132.3,112657859,55.8,2017989
99000,Coastal States,Coastal States,Coastal States,2018,265820363,131.7,111749387,55.4,2017989
99000,Coastal States,Coastal States,Coastal States,2017,264582016,131.1,110863689,54.9,2017989
99000,Coastal States,Coastal States,Coastal States,2016,262994992,130.3,110033107,54.5,2017989
99000,Coastal States,Coastal States,Coastal States,2015,261176658,129.4,109250200,54.1,2017989
99000,Coastal States,Coastal States,Coastal States,2014,259333175,128.5,108559608,53.8,2017989
99000,Coastal States,Coastal States,Coastal States,2013,257470844,127.6,107904878,53.5,2017989
99000,Coastal States,Coastal States,Coastal States,2012,255755230,126.7,107364489,53.2,2017989
99000,Coastal States,Coastal States,Coastal States,2011,253930214,125.8,106961673,53,2017989
99000,Coastal States,Coastal States,Coastal States,2010,252108076,124.9,106585405,52.8,2017989
