"Sector","Sector ID","Industry","IndustryID"
"Marine Construction",1,"Marine Related Construction","CM01"
"Living Resources",2,"Fish Hatcheries and Aquaculture","LF04"
"Living Resources",2,"Fishing","LR03"
"Living Resources",2,"Seafood Processing","LR01"
"Living Resources",2,"Seafood Markets","LR05"
"Minerals ",3,"Limestone, Sand, & Gravel","MI04"
"Minerals",3,"Oil & Gas Exploration and Production","MI02"
"Ship & Boat Building",5,"Boat Building & Repair","SB02"
"Ship & Boat Building",5,"Ship Building & Repair","SB01"
"Tourism & Recreation",6,"Boast Dealers","TO03"
"Tourism & Recreation",6,"Eating & Drinking Places","TO04"
"Tourism & Recreation",6,"Hotels & Lodging Places","TO06"
"Tourism & Recreation",6,"Marinas","TO02"
"Tourism & Recreation",6,"Recreational Vehicles & Campsites","TO07"
"Tourism & Recreation",6,"Scenic Water Tours","TO11"
"Tourism & Recreation",6,"Sporting Goods","TO07"
"Tourism & Recreation",6,"Amusement & Recreation Services","TO08"
"Tourism & Recreation",6,"Zoos, Aquaria","TO10"
"Tourism & Recreation",6,"Sporting Goods Retailers","TO01"
"Transportation",7,"Deep Sea Freight","TR02"
"Transportation",7,"Marine Passenger Transportation","TR05"
"Transportation",7,"Marine Transportation Services","TR07"
"Transportation",7,"Search and Navigation Equipment","TR03"
"Transportation",7,"Warehousing","TR01"
