"Sector"	"Industry"	"SuperSector"
"All Sectors"	"All Industries"	"All Sectors"
"Construction"	"Marine Related Construction"	"Construction"
"Living Resources"	"Fish Hatcheries and Aquaculture"	"Education and Health Services"
"Living Resources"	"Fishing"	"Financial Activities"
"Living Resources"	"Seafood Processing"	"Information"
"Living Resources"	"Seafood Markets"	"Leisure and Hospitality"
"Minerals"	"Limestone, Sand, & Gravel"	"Manufacturing"
"Minerals"	"Oil & Gas Exploration and Production"	"Natural Resources and Mining"
"Ship & Boat Building"	"Boat Building & Repair"	"Other Services"
"Ship & Boat Building"	"Ship Building & Repair"	"Professional and Business Services"
"Ship & Boat Building"	"Boast Dealers"	"Public Administration"
"Tourism & Recreation"	"Eating & Drinking Places"	"Trade, Transportation, and Utilities"
"Tourism & Recreation"	"Hotels & Lodging Places"	"Unclassified"
"Tourism & Recreation"	"Marinas"	
"Tourism & Recreation"	"Recreational Vehicles & Campsites"	
"Tourism & Recreation"	"Scenic Water Tours"	
"Tourism & Recreation"	"Sporting Goods"	
"Tourism & Recreation"	"Amusement & Recreation Services"	
"Tourism & Recreation"	"Zoos, Aquaria"	
"Transportation"	"Deep Sea Freight"	
"Transportation"	"Marine Passenger Transportation"	
"Transportation"	"Marine Transportation Services"	
"Transportation"	"Search and Navigation Equipment"	
"Transportation"	"Warehousing"	
